Glottocode	L2_prop	L1_scaled	L1_log10_scaled	All_users_scaled	All_Users_log10_scaled	number_of_lgs_in_ethnologue	ISO_639
abad1241	0	-0.0885307266610133	-0.22673867405378725	-0.07957666442248508	-0.34268062079084466	1	kbt
abar1238	0	-0.08857557343888246	-0.33923712665545575	-0.07960219869309494	-0.46396608081968727	1	mij
abau1245	0	-0.08833425506272934	0.01110767534322787	-0.07946479999886093	-0.08625661463193719	1	aau
abee1242	0	-0.07720798302947438	0.906418039606752	-0.07312986905231945	0.8789844787969483	1	aba
aben1249	0	-0.08852645553931147	-0.21825363201141915	-0.0795742325871889	-0.3335328307219756	1	abp
abkh1244	0	-0.08035195571418799	0.8260195657205202	-0.07491994301383545	0.7923062564267689	1	abk
abua1245	0	-0.08854524847479951	-0.25794917549894425	-0.07958493266249209	-0.3763289060602421	1	aah
abui1241	0	-0.08797120971807418	0.20079142977304004	-0.07925809399868587	0.11824292188592396	1	abz
abun1252	0	-0.08852645553931147	-0.21825363201141915	-0.0795742325871889	-0.3335328307219756	1	kgr
acha1249	0	-0.08597659588332175	0.5427277843359591	-0.07812242691537115	0.4868871752481608	1	acn
acha1250	0	-0.08864391138611168	-0.8394827470731148	-0.07964110805783378	-1.0032847896253736	1	aca
ache1245	0	-0.08780036485000117	0.2566566682423838	-0.07916082058683879	0.17847167162141017	1	acz
ache1246	0	-0.08861572198287962	-0.5167337739105399	-0.07962505794487901	-0.6553266019473424	1	guq
achi1256	0	-0.08335839828010283	0.7134578965349379	-0.07663171187881455	0.6709526421052749	1	acr
achi1257	0	0.06083467037352006	1.549749764148174	0.00546704772012612	1.572565433536212	1	ace
achu1247	0	-0.08865416207819606	-1.622528196268586	-0.0796469444625446	-1.8474922016636424	1	acv
achu1248	0	-0.0883154621272413	0.02537946192534228	-0.07945409992355776	-0.07087009009746961	1	acu
acol1236	0	-0.052649033243978766	1.0032143841627854	-0.05914681609930082	0.9833413735549368	2	ach, lth
adan1251	0	-0.08852645553931147	-0.21825363201141915	-0.0795742325871889	-0.3335328307219756	1	adn
adny1235	0	-0.08864860961998368	-0.9838691711094096	-0.07964378307665958	-1.15894892060829	1	adt
adon1237	0	-0.08446888992257742	0.6545429318238601	-0.07726398905582062	0.607435958699266	1	adr
adze1240	0	-0.08737325267981864	0.3581686438377443	-0.07891763705722107	0.28791252501797804	1	adz
aeky1238	0	-0.08775338251128109	0.2700609975458425	-0.07913407039858084	0.1929229836914926	1	awi
afad1236	0	-0.08844103310527497	-0.09039178437829153	-0.07952559588126536	-0.19568397456720513	1	aal
afar1241	0.00889304937982682	0.01987461325301522	1.4695801183031452	-0.01729979432268438	1.4885451092917203	1	aar
