ISO_639	L1_st	L1_log10_scaled	All_Users_scaled	All_Users_log10_scaled
kbt	-0.09082050959530061	-0.4441012273999046	-0.08159237020251993	-0.4538399065474988
mij	-0.09086370367538628	-0.5778912951472663	-0.08161958658830196	-0.5870990194739418
aau	-0.09063127838730624	-0.16123974385610915	-0.0814731365124272	-0.17210097769605445
aba	-0.07991503280414673	0.9035183174290413	-0.074720880801741	0.8884315200979491
abp	-0.09081639587338769	-0.4340102943831886	-0.08158977816577878	-0.4437890200725254
abk; abk	-0.08363383741342742	0.7810066768887072	-0.07706408201573728	0.7664060751867731
aah	-0.09083449624980454	-0.48121867218433856	-0.08160118312743983	-0.4908100482728918
abz	-0.09028161202470794	0.06434382435167346	-0.08125281338942976	0.052587347052504244
kgr	-0.09081639587338769	-0.4340102943831886	-0.08158977816577878	-0.4437890200725254
acn; acn	-0.08836050389137377	0.4709955336355426	-0.08004233223131442	0.45762523186409054
aca	-0.09092952322599301	-1.172814104290038	-0.0816610591761603	-1.1796608377082907
acz	-0.0901170631481911	0.13078219631755741	-0.0811491319197839	0.1187620539012146
guq	-0.09090237266136773	-0.7889812071593989	-0.08164395173366874	-0.7973512070696269
acr	-0.08583879235875314	0.6740382666631188	-0.07845341370899171	0.6598621762425642
ace	0.0530404594214638	1.6686079077293026	0.00905374667210857	1.650484801251767
acv	-0.09093939615858403	-2.1040598350030626	-0.08166728006433906	-2.1072108575325545
acu; acu	-0.09061317801088939	-0.14426685890045726	-0.08146173155076615	-0.15519545076812344
ach; ach; lth	-0.021582456078925276	1.4511265710380887	-0.037965799812285955	1.4338665537727813
adn	-0.09081639587338769	-0.4340102943831886	-0.08158977816577878	-0.4437890200725254
adt	-0.09093404832009723	-1.3445273057330298	-0.08166391041657557	-1.3506925838410595
adr	-0.08690836005611262	0.6039729729835897	-0.07912734326168976	0.5900749413613046
adz	-0.08970569095689898	0.25150647098967305	-0.08088992824566928	0.23900722622501464
awi	-0.09007181220714897	0.14672344781163432	-0.08112061951563129	0.13464004147387518
aal	-0.09073412143512927	-0.2819491338825217	-0.08153793743095586	-0.29233132444486215
aar; aar; aar	0.013589866276550278	1.5732652421117905	-0.015212901298503423	1.5581697465539452
agq	-0.08933134226282316	0.33038691276121734	-0.08065405290222495	0.3175746256942419
ahh	-0.09081639587338769	-0.4340102943831886	-0.08158977816577878	-0.4437890200725254
kit	-0.09083943271610005	-0.4955079362378155	-0.0816042935715292	-0.5050426044274618
agr	-0.08874308002927545	0.42319159687833496	-0.08028339164824103	0.41001100822316633
msm	-0.08847157438302265	0.45788950246060683	-0.08011231722332537	0.44457121284934425
agn	-0.09032274924383715	0.04512840172882354	-0.08127873375684122	0.03344818211790706
thm; thm	-0.09091101147738487	-0.8670034246860203	-0.08164939501082515	-0.875063788214176
kak	-0.08682608561785421	0.6099883680289231	-0.07907550252686683	0.5960664639095773
tba	-0.09093363694790593	-1.3241251535122138	-0.08166365121290145	-1.3303713989241783
ail	-0.090927466365036555	-1.1187247390467787	-0.08165976315778974	-1.1257861297241232
ain	-0.09093972525633706	-2.4909277559318777	-0.08166748742727835	-2.492543467274714
aio	-0.0908781017020815	-0.640299086267308	-0.08162865871689598	-0.6492591411061361
ajg; ajg	-0.04441361269563748	1.3322460159898297	-0.052351603725648115	1.3154577841483517
aja	-0.09093158008694947	-1.238959776918128	-0.08166235519453088	-1.2455440068160812
aji	-0.09071931203624276	-0.2612514045143357	-0.08152860609868773	-0.2717157353982646
cpc	-0.09077525865425848	-0.3483763431779698	-0.08156385779836732	-0.3584949129229399
akj	-0.09093968411911793	-2.4052689990503553	-0.08166746150691094	-2.4072246528918084
aka	0.2422716674158352	1.91845435116126	0.15420780417630336	1.9338639076491424
tsr	-0.09091306833834133	-0.889036767289508	-0.08165069102919571	-0.897009690025733
ahk; ahk; ahk; ahk; ahk	-0.0655745982157037	1.1516170866229043	-0.06568504072210486	1.1355456927534786
akl; mlz	-0.06895196390621194	1.1090713198619548	-0.06781310288658601	1.093168771709941
bss	-0.08682608561785421	0.6099883680289231	-0.07907550252686683	0.5960664639095773
aqz	-0.09093960184467967	-2.2845397620027494	-0.08166740966617611	-2.286974537886037
akz	-0.09092458675969751	-1.0564666242951588	-0.08165794873207093	-1.0637750904596843
alw	-0.07950366061285462	0.9144262714204318	-0.0736918422155059	0.9293995058922496
mim	-0.08970569095689898	0.25150647098967305	-0.08088992824566928	0.23900722622501464
wbj	-0.08875953491692713	0.4209528695007976	-0.08029375979520562	0.4077811653847718
amp	-0.09089867031164611	-0.7609291543097203	-0.0816416189006017	-0.7694104806655356
fbl; lbl; rbl; ubl	-0.06204502481441739	1.1904092929995762	-0.06346107319820131	1.174183949667858
ale; ale	-0.09093343126181029	-1.3144254379908122	-0.0816635216110644	-1.320710177371756
aol	-0.08991137705254504	0.19722131259541675	-0.08101953008272658	0.18493750210804855
xua	-0.09084107820486521	-0.5004275844664786	-0.08160533038622565	-0.5099427287035011
aly	-0.09087604484112505	-0.6305421538274806	-0.0816273626985254	-0.6395409297044509
amc; amc	-0.09091841617682814	-0.9553645377195391	-0.08165406067695921	-0.9630742342681736
amm	-0.090919650293402	-0.9730231662956691	-0.08165483828798155	-0.9806627833972178
aie	-0.09093034597037561	-1.1975382534157955	-0.08166157758350853	-1.2042868673966902
amr	-0.09086123544223852	-0.568392724628002	-0.08161803136625728	-0.5776381446662797
nyi	-0.08444012690835996	0.7461877807666333	-0.07757212121700197	0.7317253601798324
abs	-0.08271236370493308	0.81637487319454	-0.0401949514096718	1.4183394011046042
abt	-0.08958227929951135	0.27988464515563366	-0.08081216714343488	0.2672727797111596
