Language_ID	AUTOTYP_area	Longitude	Latitude
abad1241	S New Guinea	146.992	-9.03389
abar1238	African Savannah	10.2267	6.5805
abau1245	N Coast New Guinea	141.324	-3.97222
abee1242	African Savannah	-4.38497	5.59682
aben1249	Oceania	120.2	15.4131
abip1241	SE South America	-61	-29
abkh1244	Greater Mesopotamia	41.159115	43.056218
abua1245	N Coast New Guinea	142.917031	-3.461612
abui1241	Oceania	124.588	-8.31058
abun1252	N Coast New Guinea	132.416	-0.57073
acha1249	Southeast Asia	97.7438	24.3479
acha1250	NE South America	-72.2005	4.38649
ache1245	African Savannah	30.3187	10.8827
ache1246	SE South America	-56.4697	-25.5865
achi1256	Mesoamerica	-90.3513	15.073
achi1257	Southeast Asia	96.6032	3.90757
achu1247	California	-121.191	41.0979
achu1248	NE South America	-77.2641	-2.82646
acol1236	S Africa	32.5147	3.57738
adan1251	Oceania	124.448	-8.18958
adny1235	S Australia	138.671	-30.1451
adon1237	Oceania	123.159	-8.32027
adze1240	N Coast New Guinea	146.294	-6.39394
aeky1238	S New Guinea	141.532	-5.88478
afad1236	African Savannah	14.6343	12.0551
afar1241	Greater Abyssinia	41.8083	12.2281
aghe1239	African Savannah	10.0807	6.38956
aghu1254	N Australia	142.426	-13.735
aghu1255	S New Guinea	140.043	-6.34674
aghw1237	Greater Mesopotamia	47.126667	40.374444
agob1244	S New Guinea	142.532	-9.08521
agua1253	NE South America	-77.9218	-5.30044
agus1235	Oceania	125.742	8.62731
agut1237	Oceania	119.655	10.5328
aheu1239	Southeast Asia	104.229	17.7655
ahin1234	Oceania	120.90003	16.321
ahom1240	Indic	88.464	27.2778
aika1237	NE South America	-60.5353	-12.6695
aime1238	S New Guinea	142.656	-6.68656
ainu1240	N Coast Asia	142.46167	43.633654
aito1238	Indic	92.3169	26.5145
ajab1235	African Savannah	1.64992	7.06634
ajas1235	African Savannah	25.6122	8.58003
ajie1238	Oceania	165.468	-21.3029
ajyi1238	NE South America	-74.61947	-9.82364
akab1249	Southeast Asia	92.7818	12.3782
akaj1239	Southeast Asia	92.9504	13.1525
akan1250	African Savannah	-1.33254	6.34756
akei1237	Oceania	166.767	-15.6377
akha1245	Southeast Asia	100.964	21.2309
akka1240	Greater Mesopotamia	44.1	33.1
akla1240	Oceania	122.35413	11.55432
akoo1248	African Savannah	9.65522	4.9243
akun1241	NE South America	-60.9716	-12.8322
alab1237	E North America	-94.62848	30.76738
alab1254	Greater Abyssinia	38.1732	7.39014
alac1244	Mesoamerica	-98.58	17.25
alag1248	S Africa	35.7231	-4.64148
alam1246	N Coast New Guinea	143.316	-4.66307
alba1269	Oceania	123.49	13.1989
aleu1260	N Coast Asia	-174.29	52.1228
alor1247	Oceania	124.264	-8.20382
alse1251	Alaska-Oregon	-123.94	44.408
aluk1238	Indic	76.7995	11.3456
alya1239	S Australia	136.835	-21.0427
amah1246	NE South America	-72.3208	-10.2012
amam1246	S New Guinea	146.92	-7.9
amap1240	N Coast New Guinea	141.658	-4.20192
amar1272	N Coast New Guinea	148.68	-5.55778
amar1274	NE South America	-70.5533	-12.4931
amas1236	African Savannah	29.4332	12.0993
ambo1250	Oceania	128.184	-3.71342
ambu1247	N Coast New Guinea	143.059	-3.7801
amdo1237	Inner Asia	100.485	34.5177
amha1245	Greater Abyssinia	39.543456	11.708182
amii1238	N Australia	130.04	-13.5573
amis1246	Oceania	121.348	23.0917
amri1238	Indic	91.482	26.024
anci1242	Europe	21.9129	39.8155
anci1244	Greater Mesopotamia	35.1725	31.7761
ando1256	NE South America	-72.0869	-0.53751
anei1239	Oceania	169.825	-20.1864
anem1249	N Coast New Guinea	148.993	-5.54836
anfi1235	Greater Abyssinia	34.647	8.568
anga1288	Southeast Asia	93.8668	25.6841
anga1290	Interior New Guinea	146.352	-7.15012
ango1257	NE South America	-71.9212	6.54198
anin1240	N Australia	136.6415	-13.99904
anta1255	S Africa	49.2402	-13.2164
anua1242	Greater Abyssinia	34.0267	7.57714
anuf1239	African Savannah	0.56021	10.2839
anut1237	Oceania	169.85	-11.61
anuu1241	Indic	93.05	21.5
aona1235	Southeast Asia	94.3824	26.3241
aoua1234	Southeast Asia	105.85	26.8
apat1240	Indic	93.7284	27.1933
apin1244	NE South America	-47.6315	-6.10774
apma1240	Oceania	168.189	-15.8559
apma1241	N Coast New Guinea	144.085	-4.35147
apol1242	Andean	-68.66	-14.83
apur1254	NE South America	-66.7714	-8.21692
arab1267	S Australia	135.449	-28.705
arak1252	Oceania	166.952542	-15.632997
aram1253	S New Guinea	141.445	-8.29593
arao1248	NE South America	-67.7293	-12.4242
arap1274	Basin and Plains	-108.81	43.3879
araw1273	NE South America	-52.5001	-4.90246
araw1276	NE South America	-56.9243	5.64295
arbo1245	Greater Abyssinia	36.7986	4.92183
arch1244	Greater Mesopotamia	46.8267	42.3239
area1240	Oceania	161.158	-9.20699
aree1239	S New Guinea	149.999	-9.67147
argo1244	Greater Abyssinia	39.756	10.6596
arhu1242	NE South America	-73.6363	10.7018
arib1241	N Coast New Guinea	146.991	-6.72266
arig1246	African Savannah	5.89556	7.56324
arik1265	NE South America	-62.7261	-12.4878
arom1237	Europe	21.2	40.616
arop1242	N Coast New Guinea	142.12	-3.06984
arop1243	N Coast New Guinea	147.103	-5.31671
aros1241	Oceania	161.432	-10.2441
arta1239	Oceania	121.656	16.4185
asha1243	Andean	-73.9073	-11.9311
ashe1272	Andean	-74.9153	-10.9777
asoa1238	S Africa	26.7198	2.26818
assi1247	Basin and Plains	-106.068	49.2923
asur1254	Indic	83.4562	21.5721
asut1235	S Africa	37.8323	-4.17978
atak1252	E North America	-93.0827	30.9121
atam1239	N Australia	142.273	-11.0018
atam1240	Oceania	125.499	7.7789
atay1247	Oceania	121.388	24.5209
athp1241	Indic	87.3296	26.8794
atii1237	Oceania	122.512	11.1539
aton1241	Indic	90.658722	25.346508
aulu1238	Oceania	167.697	-16.3579
auuu1241	N Coast New Guinea	142.105	-3.53277
auye1238	N Coast New Guinea	136.096	-3.43705
avac1239	NE South America	-48.1336	-13.6081
avat1244	African Savannah	0.41314	6.8688
avok1242	African Savannah	29.9379	4.38639
awab1243	S Australia	151.43555	-33.12847
awac1239	Andean	-78.3401	1.21652
awad1243	Indic	82.4663	27.5907
awad1244	N Coast New Guinea	146.355	-5.59896
awap1236	Interior New Guinea	145.714	-6.65534
awar1248	N Coast New Guinea	146.372	-6.16986
awar1249	N Coast New Guinea	144.836	-4.13554
awet1244	NE South America	-53.391944	-12.381944
awji1241	N Africa	21.1819	29.2341
awtu1239	N Coast New Guinea	141.928	-3.53129
