Language_ID,used_in_reanalysis,ISO_639
afar1241,yes,aar
alab1254,yes,alw
arbo1245,yes,arv
argo1244,yes,agj
awad1243,yes,awa
bahi1252,yes,bhj
bala1315,yes,blz
bant1281,yes,bap
bara1357,yes,brd
bela1254,yes,bel
belh1239,yes,byw
bhoj1244,yes,bho
boro1277,yes,bwo
bugi1244,yes,bug
bujh1238,yes,byh
bulu1251,yes,bum
burj1242,yes,bji
byan1241,yes,bee
caml1239,yes,rab
cent1989,yes,khm
cent2050,yes,knc
char1269,yes,cra
chep1245,yes,cdm
chhi1245,yes,ctn
chuv1255,yes,chv
colu1241,yes,col
czec1258,yes,ces
daas1238,yes,dsh
dara1250,yes,dry
dhim1246,yes,dhi
djee1236,yes,djj
dobu1241,yes,dob
dumi1241,yes,dus
dutc1256,yes,nld
dyul1238,yes,dyu
ewee1241,yes,ewe
fiji1243,yes,fij
finn1318,yes,fin
gand1255,yes,lug
gumu1244,yes,guk
guru1261,yes,gvr
gusi1247,yes,guz
hadi1240,yes,hdy
haka1240,yes,cnh
hame1242,yes,amf
hebr1245,yes,heb
hela1238,yes,scp
iban1264,yes,iba
iris1253,yes,gle
ital1282,yes,ita
juku1254,yes,jbu
kafa1242,yes,kbr
kamb1297,yes,kam
khal1275,yes,klr
khar1287,yes,khr
kinn1249,yes,kfk
koon1244,yes,kng
koor1239,yes,kqy
kuan1247,yes,kua
kuan1248,yes,ksd
kulu1253,yes,kle
kumz1235,yes,zum
kuna1268,yes,kun
lepc1244,yes,lep
mait1250,yes,mai
mala1464,yes,mal
male1284,yes,mdy
mara1378,yes,mar
masb1238,yes,msb
meen1242,yes,mym
melo1242,yes,mfx
mode1248,yes,ell
mwan1247,yes,wmw
naur1243,yes,nau
newa1246,yes,new
nisg1240,yes,ncg
niua1240,yes,num
nucl1301,yes,tur
nucl1305,yes,kan
nucl1310,yes,mya
nuer1246,yes,nus
nupe1254,yes,nup
oriy1255,yes,ory
panj1256,yes,pan
patt1248,yes,lae
ping1243,yes,pif
pipi1250,yes,ppl
puma1239,yes,pum
qima1242,yes,ahg
raji1240,yes,rji
rovi1238,yes,rug
sant1410,yes,sat
sgaw1245,yes,ksw
shon1251,yes,sna
slov1268,yes,slv
sout2807,yes,sot
sout2956,yes,hax
stan1289,yes,cat
sunw1242,yes,suz
swah1253,yes,swh
swed1254,yes,swe
tami1289,yes,tam
tern1247,yes,tft
thak1245,yes,ths
than1259,yes,thf
thul1246,yes,tdh
tibe1272,yes,bod
timn1235,yes,tem
tsam1247,yes,tsb
tson1249,yes,tso
tswa1253,yes,tsn
ukra1253,yes,ukr
wamb1257,yes,wme
ware1253,yes,wsa
wayu1241,yes,vay
west2369,yes,pes
west2415,yes,tdg
wola1242,yes,wal
xamt1239,yes,xan
yakk1236,yes,ybh
abar1238,yes,mij
abkh1244,yes,abk
abun1252,yes,kgr
acha1249,yes,acn
achi1256,yes,acr
achi1257,yes,ace
achu1248,yes,acu
acol1236,yes,ach
adan1251,yes,adn
adon1237,yes,adr
adze1240,yes,adz
aghe1239,yes,agq
