"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.49,1.71,1.98,1843.11,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.28,0.34,0.41,1843.11,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0,0.03,1843.11,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1843.11,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.49,1.71,1.98,1843.86,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.28,0.34,0.41,1843.86,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,-0.01,0.02,1843.86,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.08,0.14,1843.86,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1.49,1.71,1.98,1844.05,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.28,0.34,0.41,1844.05,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.18,-0.02,0.14,1844.05,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,1844.05,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,1844.05,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.49,1.71,1.98,1845.86,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.28,0.34,0.41,1845.86,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,-0.01,0.02,1845.86,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.03,0.08,0.14,1845.86,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.38,-0.04,0.3,1845.86,"L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",1.48,1.7,1.97,1868.44,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.28,0.34,0.41,1868.44,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.02,0,0.02,1868.44,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1868.44,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.46,1.68,1.95,1871.09,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.29,0.35,0.41,1871.09,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,-0.01,0.02,1871.09,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.01,0.16,0.32,1871.09,"Official status"
"Phylogenetic+Spatial: local+Education",1.46,1.68,1.95,1872.25,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.28,0.34,0.41,1872.25,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,-0.01,0.02,1872.25,"Intercept"
"Phylogenetic+Spatial: local+Education",0,0.14,0.28,1872.25,"Education"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1.48,1.7,1.96,1872.58,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.28,0.34,0.41,1872.58,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.17,-0.01,0.15,1872.58,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.05,1872.58,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1.47,1.69,1.96,1873.24,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.28,0.34,0.41,1873.24,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.03,0,0.02,1873.24,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.04,0.03,0.1,1873.24,"L1*L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (linear)",1.48,1.7,1.96,1874.23,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.28,0.34,0.41,1874.23,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.02,0,0.03,1874.23,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.36,-0.02,0.32,1874.23,"L2 proportion"
