"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.53,1.75,2.05,1776.88,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.28,0.35,0.41,1776.88,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.04,-0.02,0.01,1776.88,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.08,0.14,1776.88,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.53,1.76,2.05,1777.27,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.28,0.34,0.41,1777.27,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.01,0.01,0.04,1777.27,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1777.27,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1.53,1.76,2.05,1778.62,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.28,0.34,0.41,1778.62,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.13,0.02,0.17,1778.62,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,1778.62,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,1778.62,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.52,1.75,2.05,1779.63,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.28,0.35,0.41,1779.63,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.04,-0.02,0.01,1779.63,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.03,0.08,0.14,1779.63,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.35,0.01,0.37,1779.63,"L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",1.51,1.75,2.03,1800.45,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.28,0.34,0.41,1800.45,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.02,0.01,0.03,1800.45,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1800.45,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.5,1.73,2.01,1802.37,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.29,0.35,0.42,1802.37,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,0,0.03,1802.37,"Intercept"
"Phylogenetic+Spatial: local+Official",0.01,0.18,0.35,1802.37,"Official status"
"Phylogenetic+Spatial: local+Education",1.5,1.73,2.01,1803.53,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.28,0.35,0.42,1803.53,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,0,0.02,1803.53,"Intercept"
"Phylogenetic+Spatial: local+Education",0.01,0.15,0.3,1803.53,"Education"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1.5,1.74,2.02,1805.54,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.28,0.35,0.42,1805.54,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.02,0.01,0.03,1805.54,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.03,0.04,0.11,1805.54,"L1*L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1.51,1.74,2.03,1806.9,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.28,0.34,0.42,1806.9,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.11,0.04,0.19,1806.9,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.03,1806.9,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (linear)",1.51,1.74,2.02,1807.04,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.28,0.34,0.41,1807.04,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.02,0.01,0.03,1807.04,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.29,0.07,0.43,1807.04,"L2 proportion"
