"model","2.5%","50%","97.5%","WAIC","effect"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.04,0.25,0.53,3596.33,"Intercept"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.05,0.14,0.42,3596.33,"social SD:
L1"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.03,0.13,0.47,3596.33,"social SD:
L2 proportion"
"L1 speakers (nonlinear)",0.09,0.17,0.25,3596.4,"Intercept"
"L1 speakers (nonlinear)",0.06,0.19,0.57,3596.4,"social SD:
L1"
"Education",-0.08,-0.02,0.03,3617.23,"Intercept"
"Education",0.25,0.45,0.65,3617.23,"Education"
"Official",-0.07,-0.02,0.04,3620.43,"Intercept"
"Official",0.26,0.49,0.73,3620.43,"Official status"
"L1_log10:L2 proportion (linear)",-0.06,0,0.05,3629.29,"Intercept"
"L1_log10:L2 proportion (linear)",0.05,0.17,0.29,3629.29,"L1*L2 proportion"
"L2 proportion (nonlinear)",-0.04,0.24,0.53,3633.21,"Intercept"
"L2 proportion (nonlinear)",0,0.01,0.03,3633.21,"social SD:
L2 proportion"
"L2 proportion (linear)",-0.05,0,0.06,3634.73,"Intercept"
"L2 proportion (linear)",-0.08,0.52,1.12,3634.73,"L2 proportion"
"L1 speakers (linear)",-0.05,0,0.06,3634.99,"Intercept"
"L1 speakers (linear)",-0.02,0.05,0.11,3634.99,"L1"
"L1 speakers (linear)+L2 proportion (linear)",-0.06,0,0.05,3635.07,"Intercept"
"L1 speakers (linear)+L2 proportion (linear)",-0.02,0.04,0.1,3635.07,"L1"
"L1 speakers (linear)+L2 proportion (linear)",-0.13,0.47,1.08,3635.07,"L2 proportion"
"Neighbours",-0.04,0.01,0.07,3637.26,"Intercept"
"Neighbours",-0.06,-0.01,0.03,3637.26,"Neighbours"
