"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local",0.86,1.17,1.54,3046.22,"phylogenetic SD"
"Phylogenetic+Spatial: local",0.37,0.45,0.55,3046.22,"spatial SD"
"Phylogenetic+Spatial: local",0,0.04,0.08,3046.22,"Intercept"
"Phylogenetic",1.49,1.8,2.13,3104.09,"phylogenetic SD"
"Phylogenetic",0,0.04,0.08,3104.09,"Intercept"
"Phylogenetic+Areal",1.31,1.65,2.03,3125.47,"phylogenetic SD"
"Phylogenetic+Areal",0.06,0.14,0.29,3125.47,"areal SD"
"Phylogenetic+Areal",-0.03,0.06,0.17,3125.47,"Intercept"
"Phylogenetic+Spatial: regional",0.68,1.01,1.44,3130.62,"phylogenetic SD"
"Phylogenetic+Spatial: regional",0.47,0.62,0.84,3130.62,"spatial SD"
"Phylogenetic+Spatial: regional",0,0.04,0.08,3130.62,"Intercept"
"Spatial: local",0.58,0.65,0.72,3199.98,"spatial SD"
"Spatial: local",0,0.04,0.08,3199.98,"Intercept"
"Spatial: regional",0.55,0.72,0.9,3219.54,"spatial SD"
"Spatial: regional",-0.01,0.04,0.09,3219.54,"Intercept"
"Areal",0.31,0.43,0.6,3345.6,"areal SD"
"Areal",0.01,0.2,0.38,3345.6,"Intercept"
