"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.94,1.25,1.62,3028.53,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.37,0.44,0.54,3028.53,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,0.01,0.05,3028.53,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.1,0.18,3028.53,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.94,1.25,1.62,3030.18,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.37,0.44,0.54,3030.18,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,0.01,0.06,3030.18,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.03,0.1,0.18,3030.18,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.63,-0.09,0.44,3030.18,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.93,1.24,1.61,3031.57,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.37,0.44,0.54,3031.57,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.04,0.09,3031.57,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,3031.57,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.93,1.24,1.62,3032.08,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.37,0.45,0.54,3032.08,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.22,0,0.23,3032.08,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3032.08,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3032.08,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",0.86,1.18,1.54,3047.04,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.37,0.45,0.55,3047.04,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",0,0.04,0.08,3047.04,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.04,0.01,0.05,3047.04,"Neighbours"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.86,1.17,1.54,3047.22,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.37,0.45,0.55,3047.22,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.19,0.03,0.25,3047.22,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.04,3047.22,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.86,1.16,1.54,3048.39,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.38,0.46,0.55,3048.39,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0,0.04,0.08,3048.39,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.08,0.03,0.13,3048.39,"L1*L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.86,1.17,1.53,3048.41,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.37,0.45,0.55,3048.41,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0,0.04,0.08,3048.41,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.55,-0.01,0.52,3048.41,"L2 proportion"
"Phylogenetic+Spatial: local+Education",0.84,1.16,1.52,3049.11,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.37,0.45,0.55,3049.11,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.01,0.03,0.07,3049.11,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.05,0.16,0.36,3049.11,"Education"
"Phylogenetic+Spatial: local+Official",0.82,1.13,1.5,3050.59,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.38,0.46,0.55,3050.59,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.01,0.03,0.07,3050.59,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.05,0.19,0.43,3050.59,"Official status"
