"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.99,1.3,1.66,3022.99,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.36,0.44,0.54,3022.99,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,0.01,0.05,3022.99,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.1,0.18,3022.99,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.99,1.3,1.66,3024.63,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.36,0.44,0.54,3024.63,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,0.01,0.06,3024.63,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.03,0.11,0.18,3024.63,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.63,-0.09,0.44,3024.63,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.97,1.27,1.66,3026.22,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.36,0.44,0.54,3026.22,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.04,0.09,3026.22,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,3026.22,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.98,1.28,1.66,3027.31,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.36,0.44,0.54,3027.31,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.22,0,0.23,3027.31,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3027.31,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3027.31,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",0.91,1.24,1.59,3039.39,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.37,0.45,0.54,3039.39,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",0,0.04,0.08,3039.39,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.04,0.01,0.05,3039.39,"Neighbours"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.91,1.23,1.58,3040.88,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.37,0.45,0.55,3040.88,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0,0.04,0.08,3040.88,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.08,0.03,0.13,3040.88,"L1*L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.91,1.23,1.58,3041.13,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.37,0.45,0.55,3041.13,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.19,0.03,0.25,3041.13,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.03,3041.13,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.91,1.22,1.58,3042.34,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.37,0.45,0.55,3042.34,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0,0.04,0.08,3042.34,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.55,-0.01,0.52,3042.34,"L2 proportion"
"Phylogenetic+Spatial: local+Official",0.87,1.2,1.55,3043.29,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.37,0.45,0.55,3043.29,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.01,0.03,0.07,3043.29,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.05,0.18,0.42,3043.29,"Official status"
"Phylogenetic+Spatial: local+Education",0.89,1.2,1.57,3044,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.37,0.45,0.55,3044,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.01,0.03,0.07,3044,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.05,0.15,0.36,3044,"Education"
