"model","2.5%","50%","97.5%","WAIC","effect"
"Official",-0.04,0.02,0.08,3558.78,"Intercept"
"Official",0.13,0.37,0.61,3558.78,"Official status"
"Education",-0.04,0.02,0.07,3559.56,"Intercept"
"Education",0.1,0.3,0.5,3559.56,"Education"
"Neighbours",-0.01,0.05,0.1,3562.17,"Intercept"
"Neighbours",-0.1,-0.06,-0.01,3562.17,"Neighbours"
"L1 speakers (nonlinear)",-0.01,0.05,0.13,3565.31,"Intercept"
"L1 speakers (nonlinear)",0,0.01,0.05,3565.31,"social SD:
L1"
"L1 speakers (linear)",-0.01,0.05,0.11,3566.8,"Intercept"
"L1 speakers (linear)",-0.09,-0.03,0.03,3566.8,"L1"
"L1_log10:L2 proportion (linear)",-0.02,0.03,0.09,3567.12,"Intercept"
"L1_log10:L2 proportion (linear)",-0.06,0.06,0.18,3567.12,"L1*L2 proportion"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.15,0.12,0.39,3567.35,"Intercept"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.08,3567.35,"social SD:
L1"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3567.35,"social SD:
L2 proportion"
"L2 proportion (nonlinear)",-0.17,0.09,0.36,3567.74,"Intercept"
"L2 proportion (nonlinear)",0,0.01,0.03,3567.74,"social SD:
L2 proportion"
"L2 proportion (linear)",-0.02,0.04,0.09,3568.13,"Intercept"
"L2 proportion (linear)",-0.49,0.14,0.77,3568.13,"L2 proportion"
"L1 speakers (linear)+L2 proportion (linear)",-0.01,0.05,0.1,3568.86,"Intercept"
"L1 speakers (linear)+L2 proportion (linear)",-0.1,-0.04,0.03,3568.86,"L1"
"L1 speakers (linear)+L2 proportion (linear)",-0.44,0.2,0.83,3568.86,"L2 proportion"
