"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1822.66
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1823.02
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1823.56
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1824.81
"Phylogenetic+Spatial: local+Neighbours",1849.87
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1853.72
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1854.31
"Phylogenetic+Spatial: local+L2 proportion (linear)",1854.33
"Phylogenetic+Spatial: local+Official",1854.91
"Phylogenetic+Spatial: local+Education",1855.62
