"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1836.77
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1836.8
"Phylogenetic+Spatial: local+L1 speakers (linear)",1838.28
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1840.22
"Phylogenetic+Spatial: local+Neighbours",1862.84
"Phylogenetic+Spatial: local+Education",1866.53
"Phylogenetic+Spatial: local+Official",1866.55
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1866.56
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1867.8
"Phylogenetic+Spatial: local+L2 proportion (linear)",1868.7
