"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (linear)",3207.14
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3207.49
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3208.11
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3209.11
"Phylogenetic+Spatial: local+Neighbours",3229.76
"Phylogenetic+Spatial: local+L2 proportion (linear)",3229.95
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",3230.07
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3230.77
"Phylogenetic+Spatial: local+Education",3233.24
"Phylogenetic+Spatial: local+Official",3233.87
