"","model","AUTOTYP_area","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"1","Phylogenetic",NA,NA,NA,NA,NA,NA,NA,NA
"2","Spatial: local",NA,NA,NA,NA,NA,NA,NA,NA
"3","Spatial: regional",NA,NA,NA,NA,NA,NA,NA,NA
"4","Areal","African Savannah",-0.65,0.13,-0.9,-0.65,-0.38,-0.65,0
"5","Areal","Alaska-Oregon",0.58,0.23,0.13,0.58,1.04,0.58,0
"6","Areal","Andean",0.57,0.19,0.19,0.56,0.95,0.56,0
"7","Areal","Basin and Plains",0.6,0.18,0.26,0.6,0.95,0.6,0
"8","Areal","California",0.31,0.26,-0.19,0.31,0.82,0.31,0
"9","Areal","E North America",0.81,0.19,0.44,0.81,1.19,0.8,0
"10","Areal","Europe",0.29,0.17,-0.04,0.28,0.62,0.28,0
"11","Areal","Greater Abyssinia",0.27,0.17,-0.05,0.27,0.61,0.27,0
"12","Areal","Greater Mesopotamia",0.61,0.17,0.29,0.61,0.94,0.6,0
"13","Areal","Indic",-0.18,0.14,-0.45,-0.18,0.09,-0.19,0
"14","Areal","Inner Asia",0.12,0.16,-0.19,0.11,0.43,0.11,0
"15","Areal","Interior New Guinea",-0.37,0.19,-0.75,-0.38,0,-0.38,0
"16","Areal","Mesoamerica",0.18,0.14,-0.1,0.18,0.46,0.17,0
"17","Areal","N Africa",0.51,0.28,-0.04,0.51,1.07,0.51,0
"18","Areal","N Australia",-0.04,0.18,-0.4,-0.04,0.32,-0.04,0
"19","Areal","N Coast Asia",0.1,0.2,-0.29,0.1,0.49,0.09,0
"20","Areal","N Coast New Guinea",-0.71,0.14,-0.99,-0.71,-0.44,-0.72,0
"21","Areal","NE South America",0.31,0.14,0.04,0.31,0.6,0.31,0
"22","Areal","Oceania",-0.87,0.13,-1.12,-0.87,-0.61,-0.87,0
"23","Areal","S Africa",0.68,0.14,0.41,0.68,0.96,0.67,0
"24","Areal","S Australia",0.07,0.22,-0.37,0.07,0.51,0.07,0
"25","Areal","S New Guinea",-0.27,0.15,-0.57,-0.27,0.03,-0.27,0
"26","Areal","SE South America",0.25,0.26,-0.25,0.25,0.76,0.25,0
"27","Areal","Southeast Asia",-1.43,0.13,-1.68,-1.43,-1.17,-1.43,0
"28","Phylogenetic+Spatial: local",NA,NA,NA,NA,NA,NA,NA,NA
"29","Phylogenetic+Spatial: regional",NA,NA,NA,NA,NA,NA,NA,NA
"30","Phylogenetic+Areal","African Savannah",-0.2,0.13,-0.47,-0.19,0.04,-0.17,0
"31","Phylogenetic+Areal","Alaska-Oregon",0.07,0.14,-0.21,0.06,0.37,0.05,0
"32","Phylogenetic+Areal","Andean",0.05,0.14,-0.23,0.04,0.34,0.04,0
"33","Phylogenetic+Areal","Basin and Plains",-0.04,0.12,-0.29,-0.04,0.2,-0.03,0
"34","Phylogenetic+Areal","California",-0.08,0.15,-0.4,-0.07,0.2,-0.06,0
"35","Phylogenetic+Areal","E North America",-0.05,0.14,-0.35,-0.05,0.22,-0.04,0
"36","Phylogenetic+Areal","Europe",0.01,0.13,-0.24,0.01,0.29,0.01,0
"37","Phylogenetic+Areal","Greater Abyssinia",-0.05,0.14,-0.35,-0.05,0.23,-0.04,0
"38","Phylogenetic+Areal","Greater Mesopotamia",0.11,0.14,-0.14,0.11,0.41,0.09,0
"39","Phylogenetic+Areal","Indic",0.06,0.1,-0.15,0.06,0.26,0.06,0
"40","Phylogenetic+Areal","Inner Asia",0.06,0.12,-0.16,0.06,0.31,0.05,0
"41","Phylogenetic+Areal","Interior New Guinea",-0.07,0.14,-0.36,-0.07,0.18,-0.06,0
"42","Phylogenetic+Areal","Mesoamerica",-0.04,0.13,-0.31,-0.04,0.2,-0.03,0
"43","Phylogenetic+Areal","N Africa",0.02,0.16,-0.3,0.02,0.35,0.02,0
"44","Phylogenetic+Areal","N Australia",0.04,0.14,-0.24,0.03,0.34,0.02,0
"45","Phylogenetic+Areal","N Coast Asia",-0.02,0.14,-0.31,-0.02,0.27,-0.01,0
"46","Phylogenetic+Areal","N Coast New Guinea",-0.04,0.11,-0.26,-0.04,0.16,-0.04,0
"47","Phylogenetic+Areal","NE South America",0.01,0.12,-0.23,0.01,0.26,0.01,0
"48","Phylogenetic+Areal","Oceania",0.01,0.1,-0.2,0.02,0.22,0.02,0
"49","Phylogenetic+Areal","S Africa",0.21,0.13,-0.03,0.2,0.49,0.18,0
"50","Phylogenetic+Areal","S Australia",0.14,0.17,-0.16,0.12,0.52,0.09,0
"51","Phylogenetic+Areal","S New Guinea",0.07,0.12,-0.17,0.07,0.32,0.06,0
"52","Phylogenetic+Areal","SE South America",0.04,0.15,-0.25,0.03,0.35,0.03,0
"53","Phylogenetic+Areal","Southeast Asia",-0.26,0.12,-0.52,-0.26,-0.04,-0.24,0
