"","x for the Gaussian observations","y for the Gaussian observations","model"
"1",4.657653720673,0.000100560108661744,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",4.89008498653484,0.000866255744402558,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",5.17253064661428,0.00713751266454675,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",5.5367363779352,0.0537260375253871,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5.72128847377294,0.115181007763987,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",5.88444546768122,0.19867308634408,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",6.07835786364537,0.328824870923469,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",6.21336581690471,0.428804726766751,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",6.32238700017431,0.506586387935373,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",6.41763818397337,0.566944643426477,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",6.50462082864427,0.612345199133474,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",6.58614406091716,0.644231157856257,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",6.62561574268434,0.655509525785357,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",6.66444752061538,0.663803435970292,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",6.70294438781707,0.669223417476596,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",6.7412881115342,0.671839308312006,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",6.75659860047546,0.672113269008339,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",6.7719004179016,0.671952162876036,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",6.77954947276127,0.671709887220521,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",6.78719803364908,0.67136059265861,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",6.80249588730967,0.670343436734348,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",6.81780239956324,0.668905408295047,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",6.83316201965158,0.667046201022879,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",6.84858933940589,0.664766329472969,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",6.85632974301679,0.66346916954735,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",6.86408871402893,0.662067521078694,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",6.87966461582324,0.658951884389899,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",6.89532162840019,0.655421911688477,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",6.93485003148014,0.644804147677753,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",6.97499475499951,0.631670536420314,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",7.01605809639648,0.615996627229166,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",7.05831844135169,0.597734218463993,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",7.14727508915831,0.553389564280826,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",7.2448701530977,0.498083311971729,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",7.35483994281908,0.431476359831778,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",7.48515681722079,0.352309080685236,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",7.65307373879611,0.258288741837989,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",7.90828911611446,0.146031102804576,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",8.13637308399667,0.0800114556611027,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",8.41104558174075,0.0349328013483016,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",9.0118740588173,0.00404028005057991,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"42",9.53992142842005,0.000437726176124139,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"43",10.0228043148474,4.60905991205728e-05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"44",4.66222547795914,0.000100219236508594,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"45",4.89543969208941,0.000863217168821399,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"46",5.17887712822051,0.00711264121258529,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"47",5.54438933379035,0.0535422924352198,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"48",5.72959148260849,0.114786857926986,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"49",5.89327981365256,0.197977821177435,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"50",6.08785854600817,0.327720542240901,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"51",6.22329601357364,0.42741346089464,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"52",6.33266142105096,0.505023444474347,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"53",6.42817669143638,0.565283239810279,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"54",6.51540316903103,0.610677054606914,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"55",6.5971270296635,0.642623765167592,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"56",6.63669309044769,0.653960728509197,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"57",6.67561250968774,0.662333075596173,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"58",6.71418197784238,0.667850795037461,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"59",6.7525983429959,0.67058186364018,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"60",6.76793757018,0.670905349528811,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"61",6.78326780683487,0.670795165445624,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"62",6.79093092323664,0.670578760157134,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"63",6.79859343171041,0.670255549724638,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"64",6.81391879249493,0.669291031923348,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"65",6.82924989129788,0.667906248899755,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"66",6.84462853359977,0.666101247208695,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"67",6.86007446941378,0.66387584018627,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"68",6.86782405852095,0.662605897292619,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"69",6.87559214926944,0.661231394563735,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"70",6.89118614141736,0.658169648744981,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"71",6.90686112679586,0.65469271659287,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"72",6.9464346081177,0.644201289193549,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"73",6.98662367520569,0.63118095095214,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"74",7.02771533205204,0.615611318052557,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"75",7.07000151890614,0.597442074437164,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"76",7.15900225016746,0.553256087839647,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"77",7.25661489972916,0.498078794267527,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"78",7.3665985806266,0.431555111900012,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"79",7.49687816984917,0.352449784765071,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"80",7.66474041300514,0.258437065276524,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"81",7.91976787991952,0.146155854539758,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"82",8.1476871001981,0.0800853597678649,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"83",8.42209768062635,0.0349673314121109,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"84",9.02208604652285,0.00404626242393371,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"85",9.54933427451543,0.000438438006794094,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"86",10.031429894425,4.61629638540137e-05,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"87",4.55628327351697,0.000104734040758967,"Phylogenetic+Spatial: local+L2 proportion (linear)"
"88",4.77937187790138,0.000903000957176815,"Phylogenetic+Spatial: local+L2 proportion (linear)"
"89",5.05019948828106,0.00744687960296692,"Phylogenetic+Spatial: local+L2 proportion (linear)"
"90",5.39905347540407,0.0561156778285574,"Phylogenetic+Spatial: local+L2 proportion (linear)"
"91",5.57568523048727,0.120366777816815,"Phylogenetic+Spatial: local+L2 proportion (linear)"
"92",5.73179912263205,0.207725967662037,"Phylogenetic+Spatial: local+L2 proportion (linear)"
"93",5.91722354658773,0.343949524174665,"Phylogenetic+Spatial: local+L2 proportion (linear)"
"94",6.04628997297536,0.448642730464775,"Phylogenetic+Spatial: local+L2 proportion (linear)"
