"","x for the Gaussian observations","y for the Gaussian observations","model"
"1",0.884607272436294,0.0082634551727688,"L1 speakers (linear)"
"2",0.891877121500646,0.0173021022797706,"L1 speakers (linear)"
"3",0.9109449771158,0.096112501876925,"L1 speakers (linear)"
"4",0.938974378938452,0.708181169452809,"L1 speakers (linear)"
"5",0.95284367438699,1.53596819647898,"L1 speakers (linear)"
"6",0.964894135140331,2.68648830415969,"L1 speakers (linear)"
"7",0.978926728501817,4.52501977908812,"L1 speakers (linear)"
"8",0.98847722924414,5.97194772201467,"L1 speakers (linear)"
"9",0.996113543176904,7.13426369218358,"L1 speakers (linear)"
"10",1.00269641315371,8.06301652062389,"L1 speakers (linear)"
"11",1.00863280934546,8.78801082738641,"L1 speakers (linear)"
"12",1.01415470454682,9.3282792253914,"L1 speakers (linear)"
"13",1.01680931649433,9.53329440907225,"L1 speakers (linear)"
"14",1.0194131177052,9.69651234421672,"L1 speakers (linear)"
"15",1.02197887926581,9.81885310564296,"L1 speakers (linear)"
"16",1.02451805032513,9.90103071723544,"L1 speakers (linear)"
"17",1.02552863575469,9.92278095495692,"L1 speakers (linear)"
"18",1.0265373756698,9.93822032953891,"L1 speakers (linear)"
"19",1.0270412923823,9.94358069691593,"L1 speakers (linear)"
"20",1.0275449545373,9.94737070184329,"L1 speakers (linear)"
"21",1.02855175486791,9.95024894618459,"L1 speakers (linear)"
"22",1.02955873948569,9.9468705053305,"L1 speakers (linear)"
"23",1.03056632823032,9.93724555600756,"L1 speakers (linear)"
"24",1.03157514252828,9.92138181785771,"L1 speakers (linear)"
"25",1.03208030956578,9.91110952197121,"L1 speakers (linear)"
"26",1.03258603613268,9.89927768540115,"L1 speakers (linear)"
"27",1.03359934767782,9.87093858422469,"L1 speakers (linear)"
"28",1.03461600809874,9.83635190132195,"L1 speakers (linear)"
"29",1.03717615375054,9.72249806458567,"L1 speakers (linear)"
"30",1.0397717424281,9.56928901601264,"L1 speakers (linear)"
"31",1.04241475065971,9.37629908853209,"L1 speakers (linear)"
"32",1.04511859286539,9.14292034149358,"L1 speakers (linear)"
"33",1.05077311382527,8.55151706989245,"L1 speakers (linear)"
"34",1.05689783732125,7.7855023277195,"L1 speakers (linear)"
"35",1.06374539427083,6.82956130414856,"L1 speakers (linear)"
"36",1.07176375916784,5.65908324745832,"L1 speakers (linear)"
"37",1.08190965774996,4.23189094288444,"L1 speakers (linear)"
"38",1.09706615709241,2.46301398234094,"L1 speakers (linear)"
"39",1.11032142617751,1.38529760231668,"L1 speakers (linear)"
"40",1.12583345021866,0.627918161619069,"L1 speakers (linear)"
"41",1.15821222581631,0.0802135456622415,"L1 speakers (linear)"
"42",1.18261361793689,0.0121134215314306,"L1 speakers (linear)"
"43",1.19405038258867,0.00457283629979263,"L1 speakers (linear)"
"44",0.897558229261652,0.00117074443120482,"L1 speakers (nonlinear)"
"45",0.917263090165586,0.0103505281965825,"L1 speakers (nonlinear)"
"46",0.940526230576938,0.0880049732130702,"L1 speakers (nonlinear)"
"47",0.969511866626517,0.689281888444916,"L1 speakers (nonlinear)"
"48",0.983768464619882,1.50489558809779,"L1 speakers (nonlinear)"
"49",0.996142420231923,2.6363927564007,"L1 speakers (nonlinear)"
"50",1.01061478164136,4.44904769892888,"L1 speakers (nonlinear)"
"51",1.0205162626602,5.8785550813322,"L1 speakers (nonlinear)"
"52",1.02842443672777,7.02127494807975,"L1 speakers (nonlinear)"
"53",1.03525298903825,7.93277610155605,"L1 speakers (nonlinear)"
"54",1.04143913627831,8.64531366406597,"L1 speakers (nonlinear)"
"55",1.04718271301466,9.1737222056337,"L1 speakers (nonlinear)"
"56",1.04994758825896,9.37404709876758,"L1 speakers (nonlinear)"
"57",1.05265702702094,9.53327258032515,"L1 speakers (nonlinear)"
"58",1.05532682752437,9.65271840930599,"L1 speakers (nonlinear)"
"59",1.05797727401091,9.73324197357535,"L1 speakers (nonlinear)"
"60",1.05903315837419,9.75453063337089,"L1 speakers (nonlinear)"
"61",1.06008699941494,9.76958144966304,"L1 speakers (nonlinear)"
"62",1.06061323809802,9.77477048052895,"L1 speakers (nonlinear)"
"63",1.06113906680143,9.77840414085376,"L1 speakers (nonlinear)"
"64",1.06218962651609,9.78101411585538,"L1 speakers (nonlinear)"
"65",1.06323894028614,9.77743243223452,"L1 speakers (nonlinear)"
"66",1.06428766030474,9.76768095703764,"L1 speakers (nonlinear)"
"67",1.06533886219044,9.75173404241355,"L1 speakers (nonlinear)"
"68",1.0658656990787,9.74142658375483,"L1 speakers (nonlinear)"
"69",1.06639341518969,9.72955864532687,"L1 speakers (nonlinear)"
"70",1.06745165323062,9.7011295662024,"L1 speakers (nonlinear)"
"71",1.06851391652975,9.66642614905109,"L1 speakers (nonlinear)"
"72",1.07118947361183,9.55212509340322,"L1 speakers (nonlinear)"
"73",1.07389794614049,9.39841570484635,"L1 speakers (nonlinear)"
"74",1.07665188108028,9.20493985508413,"L1 speakers (nonlinear)"
"75",1.079474561989,8.97059540769967,"L1 speakers (nonlinear)"
"76",1.08538154906185,8.37758680689417,"L1 speakers (nonlinear)"
"77",1.09180009305613,7.60973101522731,"L1 speakers (nonlinear)"
"78",1.09897361166743,6.65633792613355,"L1 speakers (nonlinear)"
"79",1.10737401873621,5.49635068721691,"L1 speakers (nonlinear)"
"80",1.11807383869174,4.08457617595498,"L1 speakers (nonlinear)"
"81",1.13405014292586,2.35601711339756,"L1 speakers (nonlinear)"
"82",1.14809059252637,1.31184635933841,"L1 speakers (nonlinear)"
"83",1.16467803641423,0.583802611818292,"L1 speakers (nonlinear)"
"84",1.19986388682312,0.0703449371364066,"L1 speakers (nonlinear)"
"85",1.22969694956331,0.00787661664153038,"L1 speakers (nonlinear)"
"86",1.25616904975085,0.000852578293251863,"L1 speakers (nonlinear)"
"87",0.885356424376702,0.00825646075867424,"L2 proportion (linear)"
"88",0.892632432679051,0.0172874550544388,"L2 proportion (linear)"
"89",0.911716445360983,0.096031126546582,"L2 proportion (linear)"
"90",0.939769599334963,0.707581558663856,"L2 proportion (linear)"
"91",0.953650647765329,1.53466770097879,"L2 proportion (linear)"
"92",0.965711320244269,2.68421365893171,"L2 proportion (linear)"
"93",0.97975580508083,4.52118843180811,"L2 proportion (linear)"
"94",0.989314399120061,5.96689124742945,"L2 proportion (linear)"
"95",0.996957184233507,7.12822307764977,"L2 proportion (linear)"
"96",1.00354563268091,8.05618952465304,"L2 proportion (linear)"
"97",1.00948705951001,8.78056996875891,"L2 proportion (linear)"
"98",1.01501363409675,9.32038090662608,"L2 proportion (linear)"
"99",1.0176704956283,9.52522249566663,"L2 proportion (linear)"
"100",1.02027650336676,9.68830222593478,"L2 proportion (linear)"
"101",1.02284443922102,9.81053939362951,"L2 proportion (linear)"
"102",1.02538576204215,9.89264741845387,"L2 proportion (linear)"
"103",1.02639720386926,9.91437923776786,"L2 proportion (linear)"
"104",1.02740679861847,9.92980553757009,"L2 proportion (linear)"
