"","phy_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,-0.02,0.37,-0.74,-0.02,0.71,-0.02,0,"Phylogenetic"
"2",2,0,0.12,-0.25,0,0.24,0,0,"Phylogenetic"
"3",3,-0.05,0.6,-1.24,-0.05,1.13,-0.05,0,"Phylogenetic"
"4",4,0,0.65,-1.28,0,1.28,0,0,"Phylogenetic"
"5",5,0.21,0.75,-1.26,0.21,1.69,0.21,0,"Phylogenetic"
"6",6,-0.02,0.34,-0.68,-0.02,0.65,-0.02,0,"Phylogenetic"
"7",7,-0.02,0.33,-0.67,-0.02,0.63,-0.02,0,"Phylogenetic"
"8",8,-0.02,0.33,-0.66,-0.03,0.62,-0.03,0,"Phylogenetic"
"9",9,-0.1,0.57,-1.23,-0.1,1.02,-0.1,0,"Phylogenetic"
"10",10,-0.27,0.19,-0.64,-0.27,0.1,-0.27,0,"Phylogenetic"
"11",11,-0.27,0.18,-0.64,-0.27,0.09,-0.27,0,"Phylogenetic"
"12",12,-0.28,0.17,-0.62,-0.28,0.06,-0.28,0,"Phylogenetic"
"13",13,-0.28,0.09,-0.46,-0.28,-0.1,-0.28,0,"Phylogenetic"
"14",14,-0.26,0.08,-0.42,-0.26,-0.09,-0.26,0,"Phylogenetic"
"15",15,-0.24,0.08,-0.4,-0.24,-0.07,-0.24,0,"Phylogenetic"
"16",16,-0.18,0.08,-0.33,-0.18,-0.02,-0.18,0,"Phylogenetic"
"17",17,-0.18,0.08,-0.33,-0.18,-0.02,-0.18,0,"Phylogenetic"
"18",18,-0.19,0.08,-0.35,-0.19,-0.02,-0.19,0,"Phylogenetic"
"19",19,-0.18,0.09,-0.35,-0.18,-0.01,-0.18,0,"Phylogenetic"
"20",20,-0.24,0.12,-0.48,-0.24,0,-0.24,0,"Phylogenetic"
"21",21,-0.25,0.17,-0.58,-0.25,0.08,-0.25,0,"Phylogenetic"
"22",22,-0.26,0.18,-0.6,-0.26,0.09,-0.26,0,"Phylogenetic"
"23",23,-0.28,0.19,-0.65,-0.28,0.09,-0.28,0,"Phylogenetic"
"24",24,-0.31,0.2,-0.7,-0.31,0.09,-0.3,0,"Phylogenetic"
"25",25,-0.32,0.21,-0.74,-0.32,0.09,-0.32,0,"Phylogenetic"
"26",26,-0.33,0.22,-0.76,-0.33,0.1,-0.32,0,"Phylogenetic"
