"","model","response","effect","2.5%","50%","97.5%","WAIC"
"1","Phylogenetic+Spatial: local","boundness","phylogenetic SD",1.49,1.72,2,1809.44
"2","Phylogenetic+Spatial: local","boundness","spatial SD",0.28,0.35,0.42,1809.44
"3","Phylogenetic+Spatial: local","boundness","Intercept",-0.01,0.01,0.03,1809.44
"4","Phylogenetic","boundness","phylogenetic SD",2.02,2.23,2.46,1903.9
"5","Phylogenetic","boundness","Intercept",-0.02,0.01,0.04,1903.9
"6","Phylogenetic+Areal","boundness","phylogenetic SD",1.82,2.05,2.3,1980.06
"7","Phylogenetic+Areal","boundness","areal SD",0.08,0.16,0.27,1980.06
"8","Phylogenetic+Areal","boundness","Intercept",-0.05,0.03,0.13,1980.06
"9","Phylogenetic+Spatial: regional","boundness","phylogenetic SD",1.27,1.52,1.82,2031
"10","Phylogenetic+Spatial: regional","boundness","spatial SD",0.46,0.6,0.78,2031
"11","Phylogenetic+Spatial: regional","boundness","Intercept",-0.02,0.01,0.04,2031
"12","Spatial: local","boundness","spatial SD",0.74,0.79,0.84,2259.59
"13","Spatial: local","boundness","Intercept",-0.02,0.01,0.04,2259.59
"14","Spatial: regional","boundness","spatial SD",0.9,1.06,1.25,2398.34
"15","Spatial: regional","boundness","Intercept",-0.02,0.01,0.04,2398.34
"16","Areal","boundness","areal SD",0.44,0.58,0.79,2826.87
"17","Areal","boundness","Intercept",0.09,0.33,0.56,2826.87
"18","Phylogenetic+Spatial: local+L1 speakers (linear)","boundness","phylogenetic SD",1.51,1.74,2.02,1782.77
"19","Phylogenetic+Spatial: local+L1 speakers (linear)","boundness","spatial SD",0.28,0.35,0.41,1782.77
"20","Phylogenetic+Spatial: local+L1 speakers (linear)","boundness","Intercept",-0.04,-0.02,0.01,1782.77
"21","Phylogenetic+Spatial: local+L1 speakers (linear)","boundness","L1",0.03,0.08,0.14,1782.77
"22","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","boundness","phylogenetic SD",1.51,1.74,2.02,1784.23
"23","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","boundness","spatial SD",0.28,0.34,0.41,1784.23
"24","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","boundness","Intercept",-0.01,0.01,0.04,1784.23
"25","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","boundness","social SD:
L1",0,0.01,0.03,1784.23
"26","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","boundness","phylogenetic SD",1.51,1.74,2.02,1785.49
"27","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","boundness","spatial SD",0.28,0.35,0.41,1785.49
"28","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","boundness","Intercept",-0.04,-0.02,0.01,1785.49
"29","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","boundness","L1",0.03,0.08,0.14,1785.49
"30","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","boundness","L2 proportion",-0.35,0.01,0.37,1785.49
"31","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","boundness","phylogenetic SD",1.5,1.73,2.02,1785.81
"32","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","boundness","spatial SD",0.28,0.35,0.41,1785.81
"33","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","boundness","Intercept",-0.13,0.02,0.17,1785.81
"34","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","boundness","social SD:
L1",0,0.01,0.03,1785.81
"35","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","boundness","social SD:
L2 proportion",0,0.01,0.03,1785.81
"36","Phylogenetic+Spatial: local+Neighbours","boundness","phylogenetic SD",1.49,1.72,2.01,1807.23
"37","Phylogenetic+Spatial: local+Neighbours","boundness","spatial SD",0.28,0.35,0.42,1807.23
"38","Phylogenetic+Spatial: local+Neighbours","boundness","Intercept",-0.02,0.01,0.03,1807.23
"39","Phylogenetic+Spatial: local+Neighbours","boundness","Neighbours",-0.01,0.02,0.05,1807.23
"40","Phylogenetic+Spatial: local+Official","boundness","phylogenetic SD",1.47,1.7,1.98,1807.94
"41","Phylogenetic+Spatial: local+Official","boundness","spatial SD",0.29,0.35,0.42,1807.94
"42","Phylogenetic+Spatial: local+Official","boundness","Intercept",-0.03,0,0.02,1807.94
"43","Phylogenetic+Spatial: local+Official","boundness","Official status",0.01,0.18,0.35,1807.94
"44","Phylogenetic+Spatial: local+Education","boundness","phylogenetic SD",1.48,1.71,1.99,1809.76
"45","Phylogenetic+Spatial: local+Education","boundness","spatial SD",0.29,0.35,0.42,1809.76
"46","Phylogenetic+Spatial: local+Education","boundness","Intercept",-0.03,0,0.02,1809.76
"47","Phylogenetic+Spatial: local+Education","boundness","Education",0.01,0.15,0.3,1809.76
"48","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","boundness","phylogenetic SD",1.48,1.71,2,1810.95
"49","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","boundness","spatial SD",0.29,0.35,0.42,1810.95
"50","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","boundness","Intercept",-0.02,0.01,0.03,1810.95
"51","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","boundness","L1*L2 proportion",-0.03,0.04,0.11,1810.95
"52","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","boundness","phylogenetic SD",1.49,1.72,2,1812.11
