ISO_639,Name,Language_ID,92A,112A,26A,38A,57A,101A,70A,20A,28A,29A,39A,48A,49A,65A,66A,67A,77A,98A,100A,102A,22A,34A,36A,41A,59A,73A,74A,75A,76A,na_proportion
abk,Abkhaz,abkh1244,6,1,4,2,1,2,1,1,1,3,5,4,2,1,1,1,2,1,3,5,6,6,2,2,1,1,2,1,2,0
kjq,Acoma,west2632,NA,2,4,5,1,2,1,1,1,3,1,2,1,2,4,2,3,1,4,5,3,4,4,3,1,2,1,2,3,0.034482758620689655
arz,Arabic (Egyptian),egyp1253,1,2,3,4,2,2,1,6,1,2,3,3,1,1,1,1,1,1,2,5,4,6,4,2,1,2,2,1,1,0
ain,Ainu,ainu1240,2,2,4,NA,1,2,4,NA,1,3,5,3,9,2,4,2,3,1,6,5,3,4,1,2,1,2,2,3,2,0.06896551724137931
amp,Alamblak,alam1246,6,2,2,4,4,2,1,1,1,3,3,2,7,1,2,1,1,1,2,5,6,6,3,2,1,2,NA,NA,NA,0.10344827586206896
aey,Amele,amel1241,2,2,2,1,2,NA,5,1,1,2,3,2,1,2,2,1,1,1,2,5,4,3,4,3,4,2,3,3,3,0.034482758620689655
aro,Araona,arao1248,6,6,2,5,4,NA,1,1,3,1,5,2,5,2,4,2,2,4,1,1,NA,NA,1,NA,NA,2,1,2,3,0.1724137931034483
apu,Apurinã,apur1254,6,2,4,5,1,2,3,1,1,3,3,1,9,2,4,1,2,1,4,5,4,6,4,2,1,2,2,2,NA,0.034482758620689655
hye,Armenian (Eastern),nucl1235,6,5,2,1,2,2,1,NA,3,3,3,2,5,1,1,2,NA,2,2,2,2,6,4,NA,1,2,2,3,2,0.10344827586206896
ape,Arapesh (Mountain),buki1249,2,2,5,1,NA,2,1,1,1,3,3,1,1,2,4,1,1,1,4,5,3,NA,2,2,1,2,NA,NA,NA,0.1724137931034483
cns,Asmat,cent2117,2,2,2,NA,4,2,4,1,1,3,3,2,1,2,2,1,2,1,2,5,3,NA,3,4,2,2,1,2,3,0.06896551724137931
kwi,Awa Pit,awac1239,2,6,2,5,4,2,1,1,1,2,3,2,8,1,1,1,1,2,5,4,5,NA,NA,NA,1,2,1,2,2,0.10344827586206896
ayr,Aymara (Central),cent2142,2,2,2,2,2,2,4,1,1,2,4,3,6,NA,NA,NA,3,3,5,5,5,NA,NA,NA,1,1,2,3,3,0.20689655172413793
bmi,Bagirmi,bagi1246,2,2,3,4,2,NA,5,1,1,2,3,3,1,1,4,2,NA,1,2,5,4,6,NA,NA,1,2,2,NA,NA,0.20689655172413793
