model,2.50%,50%,97.50%,WAIC,effect
Phylogenetic+Spatial: local,0.88,1.19,1.56,3228.77,phylogenetic SD
Phylogenetic+Spatial: local,0.36,0.44,0.54,3228.77,spatial SD
Phylogenetic+Spatial: local,-0.01,0.03,0.07,3228.77,Intercept
Phylogenetic,1.47,1.77,2.11,3277.79,phylogenetic SD
Phylogenetic,-0.01,0.03,0.07,3277.79,Intercept
Phylogenetic+Spatial: regional,0.63,0.95,1.37,3298.4,phylogenetic SD
Phylogenetic+Spatial: regional,0.49,0.65,0.86,3298.4,spatial SD
Phylogenetic+Spatial: regional,-0.01,0.03,0.07,3298.4,Intercept
Phylogenetic+Areal,1.29,1.62,2.01,3299.01,phylogenetic SD
Phylogenetic+Areal,0.05,0.14,0.29,3299.01,areal SD
Phylogenetic+Areal,-0.05,0.04,0.15,3299.01,Intercept
Spatial: regional,0.56,0.72,0.9,3381.21,spatial SD
Spatial: regional,-0.02,0.03,0.07,3381.21,Intercept
Spatial: local,0.57,0.64,0.72,3381.62,spatial SD
Spatial: local,-0.01,0.03,0.07,3381.62,Intercept
Areal,0.3,0.42,0.59,3511.16,areal SD
Areal,-0.02,0.16,0.35,3511.16,Intercept
