"","feature","lower","value","upper","correlation","Name"
"1","GB042",-0.43,-0.08,0.27,"no correlation","Is there productive overt morphological singular marking on nouns?"
"2","GB043",-0.72,-0.35,0.02,"no correlation","Is there productive morphological dual marking on nouns?"
"3","GB044",0.01,0.26,0.51,"positive","Is there productive morphological plural marking on nouns?"
"4","GB070",-0.26,0.03,0.32,"no correlation","Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?"
"5","GB072",-0.29,-0.04,0.22,"no correlation","Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?"
"6","GB079",-0.28,-0.01,0.27,"no correlation","Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?"
"7","GB080",-0.24,0.06,0.37,"no correlation","Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?"
"8","GB081",-0.21,0.11,0.44,"no correlation","Is there productive infixation in verbs?"
"9","GB082",-0.39,-0.15,0.09,"no correlation","Is there overt morphological marking of present tense on verbs?"
"10","GB083",-0.15,0.11,0.37,"no correlation","Is there overt morphological marking on the verb dedicated to past tense?"
"11","GB084",-0.07,0.16,0.39,"no correlation","Is there overt morphological marking on the verb dedicated to future tense?"
"12","GB086",-0.29,-0.04,0.21,"no correlation","Is a morphological distinction between perfective and imperfective aspect available on verbs?"
"13","GB089",-0.05,0.24,0.53,"no correlation","Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?"
"14","GB090",-0.99,-0.63,-0.29,"negative","Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?"
"15","GB091",0,0.31,0.61,"positive","Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?"
"16","GB092",-0.92,-0.59,-0.27,"negative","Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?"
"17","GB093",-0.26,0,0.27,"no correlation","Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?"
"18","GB094",-0.49,-0.11,0.25,"no correlation","Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?"
"19","GB103",0.16,0.44,0.72,"positive","Is there a benefactive applicative marker on the verb (including indexing)?"
"20","GB104",-0.2,0.13,0.45,"no correlation","Is there an instrumental applicative marker on the verb (including indexing)?"
"21","GB107",-0.23,0.02,0.28,"no correlation","Can standard negation be marked by an affix, clitic or modification of the verb?"
"22","GB108",-0.12,0.12,0.37,"no correlation","Is there directional or locative morphological marking on verbs?"
"23","GB113",-0.14,0.14,0.42,"no correlation","Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?"
"24","GB114",-0.02,0.25,0.52,"no correlation","Is there a phonologically bound reflexive marker on the verb?"
"25","GB115",0.06,0.31,0.56,"positive","Is there a phonologically bound reciprocal marker on the verb?"
"26","GB119",-0.03,0.18,0.39,"no correlation","Can mood be marked by an inflecting word (""""auxiliary verb"""")?"
"27","GB120",0.03,0.25,0.47,"positive","Can aspect be marked by an inflecting word (""""auxiliary verb"""")?"
"28","GB121",0.25,0.48,0.72,"positive","Can tense be marked by an inflecting word (""""auxiliary verb"""")?"
"29","GB147",0.22,0.51,0.81,"positive","Is there a morphological passive marked on the lexical verb?"
"30","GB148",-0.33,0.01,0.36,"no correlation","Is there a morphological antipassive marked on the lexical verb?"
"31","GB149",-0.18,0.27,0.74,"no correlation","Is there a morphologically marked inverse on verbs?"
"32","GB151",-0.64,-0.27,0.09,"no correlation","Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""""switch reference"""")?"
"33","GB152",-0.27,-0.03,0.21,"no correlation","Is there a morphologically marked distinction between simultaneous and sequential clauses?"
"34","GB155",-0.17,0.14,0.46,"no correlation","Are causatives formed by affixes or clitics on verbs?"
"35","GB165",-1.08,0.01,1.13,"no correlation","Is there productive morphological trial marking on nouns?"
"36","GB166",-0.95,-0.44,0.09,"no correlation","Is there productive morphological paucal marking on nouns?"
"37","GB170",-0.12,0.27,0.68,"no correlation","Can an adnominal property word agree with the noun in gender/noun class?"
"38","GB171",-0.44,-0.07,0.3,"no correlation","Can an adnominal demonstrative agree with the noun in gender/noun class?"
"39","GB172",-0.77,-0.38,-0.01,"negative","Can an article agree with the noun in gender/noun class?"
"40","GB177",-0.57,-0.2,0.16,"no correlation","Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?"
