"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local",0.26,0.5,0.91,99.56,"phylogenetic SD"
"Phylogenetic+Spatial: local",0.58,0.71,0.86,99.56,"spatial SD"
"Phylogenetic+Spatial: local",0.35,0.4,0.46,99.56,"Intercept"
"Spatial: local",0.64,0.77,0.94,146.04,"spatial SD"
"Spatial: local",0.34,0.4,0.47,146.04,"Intercept"
"Spatial: regional",0.53,0.83,1.23,221.59,"spatial SD"
"Spatial: regional",0.31,0.4,0.5,221.59,"Intercept"
"Phylogenetic+Spatial: regional",0.02,0.14,0.54,221.95,"phylogenetic SD"
"Phylogenetic+Spatial: regional",0.5,0.81,1.22,221.95,"spatial SD"
"Phylogenetic+Spatial: regional",0.31,0.41,0.5,221.95,"Intercept"
"Areal",0.31,0.5,0.83,239.92,"areal SD"
"Areal",0.09,0.41,0.72,239.92,"Intercept"
"Phylogenetic+Areal",0.03,0.15,0.52,241.99,"phylogenetic SD"
"Phylogenetic+Areal",0.27,0.48,0.82,241.99,"areal SD"
"Phylogenetic+Areal",0.11,0.42,0.73,241.99,"Intercept"
"Phylogenetic",0.23,0.44,0.85,257.9,"phylogenetic SD"
"Phylogenetic",0.28,0.41,0.53,257.9,"Intercept"
