"model","2.5%","50%","97.5%","WAIC","effect"
"L1 speakers (nonlinear)",0.08,0.17,0.25,3609.09,"Intercept"
"L1 speakers (nonlinear)",0.06,0.14,0.47,3609.09,"social SD:
L1"
"Education",-0.09,-0.03,0.02,3627.87,"Intercept"
"Education",0.26,0.46,0.66,3627.87,"Education"
"Official",-0.08,-0.03,0.03,3630.71,"Intercept"
"Official",0.26,0.5,0.74,3630.71,"Official status"
"L1_log10:Vehicularity",-0.09,-0.03,0.02,3634.12,"Intercept"
"L1_log10:Vehicularity",0.03,0.05,0.08,3634.12,"L1*Vehicularity"
"Vehicularity",-0.09,-0.03,0.03,3637.69,"Intercept"
"Vehicularity",0.11,0.29,0.46,3637.69,"Vehicularity"
"L1 speakers (linear)+Vehicularity",-0.09,-0.03,0.03,3639.72,"Intercept"
"L1 speakers (linear)+Vehicularity",-0.07,0,0.06,3639.72,"L1"
"L1 speakers (linear)+Vehicularity",0.09,0.29,0.49,3639.72,"Vehicularity"
"L1 speakers (linear)",-0.05,0,0.05,3646.12,"Intercept"
"L1 speakers (linear)",-0.02,0.04,0.1,3646.12,"L1"
"Neighbours",-0.05,0,0.06,3648.08,"Intercept"
"Neighbours",-0.06,-0.01,0.03,3648.08,"Neighbours"
