"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.56,1.78,2.05,1788.29,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.27,0.34,0.4,1788.29,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.02,0,0.02,1788.29,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.07,0.12,1788.29,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.56,1.78,2.05,1789.44,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.27,0.33,0.4,1789.44,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0,0.03,1789.44,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1789.44,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",1.56,1.78,2.05,1790.5,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.27,0.33,0.4,1790.5,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.04,-0.01,0.02,1790.5,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.01,0.06,0.11,1790.5,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.04,0.09,0.21,1790.5,"Vehicularity"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",1.55,1.77,2.04,1806.72,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.27,0.33,0.4,1806.72,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",-0.04,-0.01,0.01,1806.72,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.01,0.02,0.04,1806.72,"L1*Vehicularity"
"Phylogenetic+Spatial: local+Vehicularity",1.54,1.77,2.04,1806.9,"phylogenetic SD"
"Phylogenetic+Spatial: local+Vehicularity",0.27,0.33,0.4,1806.9,"spatial SD"
"Phylogenetic+Spatial: local+Vehicularity",-0.04,-0.01,0.01,1806.9,"Intercept"
"Phylogenetic+Spatial: local+Vehicularity",0.03,0.14,0.26,1806.9,"Vehicularity"
"Phylogenetic+Spatial: local+Neighbours",1.55,1.77,2.04,1810.73,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.27,0.34,0.4,1810.73,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.03,0,0.02,1810.73,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1810.73,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.52,1.75,2.02,1812.7,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.28,0.34,0.41,1812.7,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,-0.01,0.02,1812.7,"Intercept"
"Phylogenetic+Spatial: local+Official",0.01,0.17,0.34,1812.7,"Official status"
"Phylogenetic+Spatial: local+Education",1.53,1.75,2.03,1813.63,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.27,0.34,0.41,1813.63,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.04,-0.01,0.01,1813.63,"Intercept"
"Phylogenetic+Spatial: local+Education",0.01,0.15,0.29,1813.63,"Education"
