"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local",0.04,0.23,1.08,282.57,"phylogenetic SD"
"Phylogenetic+Spatial: local",0.18,0.45,0.86,282.57,"spatial SD"
"Phylogenetic+Spatial: local",0.03,0.15,0.28,282.57,"Intercept"
"Spatial: local",0.15,0.41,0.83,289.16,"spatial SD"
"Spatial: local",0.02,0.15,0.28,289.16,"Intercept"
"Phylogenetic+Spatial: regional",0.03,0.29,1.26,289.75,"phylogenetic SD"
"Phylogenetic+Spatial: regional",0.15,0.41,0.89,289.75,"spatial SD"
"Phylogenetic+Spatial: regional",0.02,0.15,0.29,289.75,"Intercept"
"Areal",0.13,0.29,0.58,291.11,"areal SD"
"Areal",-0.05,0.19,0.45,291.11,"Intercept"
"Phylogenetic+Areal",0.02,0.25,1.2,291.33,"phylogenetic SD"
"Phylogenetic+Areal",0.14,0.31,0.63,291.33,"areal SD"
"Phylogenetic+Areal",-0.06,0.2,0.49,291.33,"Intercept"
"Spatial: regional",0.1,0.33,0.79,292.45,"spatial SD"
"Spatial: regional",0.01,0.15,0.29,292.45,"Intercept"
"Phylogenetic",0.03,0.19,0.79,297.09,"phylogenetic SD"
"Phylogenetic",0,0.15,0.3,297.09,"Intercept"
