"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local",0.88,1.19,1.56,3152.71,"phylogenetic SD"
"Phylogenetic+Spatial: local",0.36,0.45,0.54,3152.71,"spatial SD"
"Phylogenetic+Spatial: local",-0.01,0.03,0.07,3152.71,"Intercept"
"Phylogenetic",1.48,1.78,2.12,3201.82,"phylogenetic SD"
"Phylogenetic",-0.01,0.03,0.07,3201.82,"Intercept"
"Phylogenetic+Areal",1.29,1.63,2.01,3224.01,"phylogenetic SD"
"Phylogenetic+Areal",0.05,0.14,0.29,3224.01,"areal SD"
"Phylogenetic+Areal",-0.04,0.05,0.16,3224.01,"Intercept"
"Phylogenetic+Spatial: regional",0.6,0.9,1.38,3225.33,"phylogenetic SD"
"Phylogenetic+Spatial: regional",0.49,0.65,0.85,3225.33,"spatial SD"
"Phylogenetic+Spatial: regional",-0.01,0.03,0.08,3225.33,"Intercept"
"Spatial: local",0.58,0.65,0.72,3302.19,"spatial SD"
"Spatial: local",-0.01,0.03,0.07,3302.19,"Intercept"
"Spatial: regional",0.55,0.71,0.89,3305.44,"spatial SD"
"Spatial: regional",-0.01,0.03,0.08,3305.44,"Intercept"
"Areal",0.31,0.42,0.59,3437.41,"areal SD"
"Areal",0,0.18,0.37,3437.41,"Intercept"
