"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.86,1.16,1.53,3137.77,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.36,0.44,0.54,3137.77,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.04,0,0.04,3137.77,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.02,0.05,0.13,3137.77,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.13,0.31,0.49,3137.77,"Vehicularity"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.91,1.22,1.59,3140.58,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.36,0.44,0.54,3140.58,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.01,0.03,0.07,3140.58,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.1,0.17,3140.58,"L1"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.83,1.13,1.5,3143.16,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.37,0.45,0.54,3143.16,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",-0.05,0,0.04,3143.16,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.03,0.06,0.09,3143.16,"L1*Vehicularity"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.89,1.2,1.58,3143.42,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.36,0.44,0.54,3143.42,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.04,0.08,3143.42,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,3143.42,"social SD:
L1"
"Phylogenetic+Spatial: local+Vehicularity",0.81,1.12,1.48,3144.23,"phylogenetic SD"
"Phylogenetic+Spatial: local+Vehicularity",0.37,0.45,0.54,3144.23,"spatial SD"
"Phylogenetic+Spatial: local+Vehicularity",-0.05,-0.01,0.04,3144.23,"Intercept"
"Phylogenetic+Spatial: local+Vehicularity",0.19,0.36,0.53,3144.23,"Vehicularity"
"Phylogenetic+Spatial: local+Neighbours",0.82,1.13,1.5,3160.68,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.37,0.45,0.54,3160.68,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.03,0.07,3160.68,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.04,0.01,0.05,3160.68,"Neighbours"
"Phylogenetic+Spatial: local+Education",0.79,1.09,1.47,3164.6,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.37,0.45,0.54,3164.6,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.02,0.02,0.06,3164.6,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.02,0.18,0.39,3164.6,"Education"
"Phylogenetic+Spatial: local+Official",0.77,1.08,1.45,3165.34,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.37,0.45,0.55,3165.34,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.02,0.02,0.06,3165.34,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.02,0.22,0.45,3165.34,"Official status"
