"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.001...1",0.34,0.07,0.2,0.34,0.49,0.34,"L1 speakers (linear)"
"fitted.Predictor.002...2",0.26,0.09,0.08,0.26,0.44,0.26,"L1 speakers (linear)"
"fitted.Predictor.003...3",0.26,0.09,0.08,0.26,0.44,0.26,"L1 speakers (linear)"
"fitted.Predictor.004...4",0.36,0.07,0.22,0.36,0.5,0.36,"L1 speakers (linear)"
"fitted.Predictor.005...5",0.14,0.14,-0.13,0.14,0.41,0.14,"L1 speakers (linear)"
"fitted.Predictor.006...6",0.4,0.07,0.26,0.4,0.54,0.4,"L1 speakers (linear)"
"fitted.Predictor.007...7",0.2,0.11,-0.02,0.2,0.43,0.2,"L1 speakers (linear)"
"fitted.Predictor.008...8",0.26,0.09,0.07,0.26,0.44,0.26,"L1 speakers (linear)"
"fitted.Predictor.009...9",0.15,0.14,-0.12,0.15,0.41,0.15,"L1 speakers (linear)"
"fitted.Predictor.010...10",0.44,0.08,0.29,0.44,0.58,0.44,"L1 speakers (linear)"
"fitted.Predictor.011...11",0.5,0.09,0.32,0.5,0.68,0.5,"L1 speakers (linear)"
"fitted.Predictor.012...12",0.29,0.09,0.12,0.29,0.46,0.29,"L1 speakers (linear)"
"fitted.Predictor.013...13",0.42,0.07,0.27,0.42,0.56,0.42,"L1 speakers (linear)"
"fitted.Predictor.014...14",0.59,0.12,0.35,0.59,0.82,0.59,"L1 speakers (linear)"
"fitted.Predictor.015...15",0.37,0.07,0.23,0.37,0.51,0.37,"L1 speakers (linear)"
"fitted.Predictor.016...16",0.15,0.14,-0.12,0.15,0.41,0.15,"L1 speakers (linear)"
"fitted.Predictor.017...17",0.22,0.11,0.01,0.22,0.43,0.22,"L1 speakers (linear)"
"fitted.Predictor.018...18",0.29,0.08,0.12,0.29,0.46,0.29,"L1 speakers (linear)"
"fitted.Predictor.019...19",0.27,0.09,0.09,0.27,0.45,0.27,"L1 speakers (linear)"
"fitted.Predictor.020...20",0.18,0.12,-0.05,0.18,0.42,0.18,"L1 speakers (linear)"
"fitted.Predictor.021...21",0.31,0.08,0.16,0.31,0.47,0.31,"L1 speakers (linear)"
"fitted.Predictor.022...22",0.29,0.08,0.12,0.29,0.46,0.29,"L1 speakers (linear)"
"fitted.Predictor.023...23",0.27,0.09,0.1,0.27,0.45,0.27,"L1 speakers (linear)"
"fitted.Predictor.024...24",0.2,0.11,-0.02,0.2,0.43,0.2,"L1 speakers (linear)"
"fitted.Predictor.025...25",0.28,0.09,0.1,0.28,0.45,0.28,"L1 speakers (linear)"
"fitted.Predictor.026...26",0.37,0.07,0.23,0.37,0.51,0.37,"L1 speakers (linear)"
"fitted.Predictor.027...27",0.34,0.07,0.2,0.34,0.49,0.34,"L1 speakers (linear)"
"fitted.Predictor.028...28",0.24,0.1,0.05,0.24,0.44,0.24,"L1 speakers (linear)"
"fitted.Predictor.029...29",0.31,0.08,0.15,0.31,0.47,0.31,"L1 speakers (linear)"
"fitted.Predictor.030...30",0.09,0.16,-0.22,0.09,0.41,0.09,"L1 speakers (linear)"
"fitted.Predictor.031...31",0.3,0.08,0.13,0.3,0.46,0.3,"L1 speakers (linear)"
"fitted.Predictor.032...32",0.44,0.08,0.29,0.44,0.59,0.44,"L1 speakers (linear)"
"fitted.Predictor.033...33",0.22,0.11,0.01,0.22,0.43,0.22,"L1 speakers (linear)"
"fitted.Predictor.034...34",0.32,0.08,0.17,0.32,0.48,0.32,"L1 speakers (linear)"
"fitted.Predictor.035...35",0.33,0.08,0.18,0.33,0.48,0.33,"L1 speakers (linear)"
