"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.001...1",0.2,0.23,-0.17,0.17,0.81,0.14,"Phylogenetic"
"fitted.Predictor.002...2",0.14,0.14,-0.13,0.14,0.44,0.13,"Phylogenetic"
"fitted.Predictor.003...3",0.14,0.14,-0.14,0.14,0.44,0.13,"Phylogenetic"
"fitted.Predictor.004...4",0.14,0.14,-0.13,0.14,0.44,0.13,"Phylogenetic"
"fitted.Predictor.005...5",0.14,0.14,-0.13,0.14,0.44,0.13,"Phylogenetic"
"fitted.Predictor.006...6",0.14,0.14,-0.13,0.14,0.45,0.13,"Phylogenetic"
"fitted.Predictor.007...7",0.15,0.14,-0.13,0.14,0.45,0.13,"Phylogenetic"
"fitted.Predictor.008...8",0.15,0.14,-0.13,0.14,0.45,0.13,"Phylogenetic"
"fitted.Predictor.009...9",0.14,0.14,-0.13,0.14,0.44,0.13,"Phylogenetic"
"fitted.Predictor.010...10",0.14,0.14,-0.14,0.14,0.43,0.13,"Phylogenetic"
"fitted.Predictor.011...11",0.14,0.14,-0.14,0.14,0.44,0.13,"Phylogenetic"
"fitted.Predictor.012...12",0.14,0.14,-0.13,0.14,0.44,0.13,"Phylogenetic"
"fitted.Predictor.013...13",0.14,0.14,-0.13,0.14,0.44,0.13,"Phylogenetic"
"fitted.Predictor.014...14",0.1,0.12,-0.15,0.11,0.33,0.11,"Phylogenetic"
"fitted.Predictor.015...15",0.11,0.12,-0.13,0.11,0.34,0.12,"Phylogenetic"
"fitted.Predictor.016...16",0.11,0.11,-0.11,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.017...17",0.11,0.11,-0.11,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.018...18",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.019...19",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.020...20",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.021...21",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.022...22",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.023...23",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.024...24",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.025...25",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.026...26",0.11,0.11,-0.11,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.027...27",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.028...28",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.029...29",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.030...30",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.031...31",0.11,0.11,-0.12,0.11,0.33,0.12,"Phylogenetic"
"fitted.Predictor.032...32",0.11,0.11,-0.11,0.12,0.34,0.12,"Phylogenetic"
"fitted.Predictor.033...33",0.12,0.11,-0.11,0.12,0.34,0.12,"Phylogenetic"
"fitted.Predictor.034...34",0.12,0.11,-0.11,0.12,0.34,0.12,"Phylogenetic"
"fitted.Predictor.035...35",0.11,0.11,-0.12,0.12,0.34,0.12,"Phylogenetic"
"fitted.Predictor.036...36",0.1,0.12,-0.14,0.11,0.33,0.11,"Phylogenetic"
"fitted.Predictor.037...37",0.1,0.12,-0.14,0.11,0.33,0.11,"Phylogenetic"
"fitted.Predictor.038...38",0.1,0.12,-0.15,0.11,0.32,0.11,"Phylogenetic"
"fitted.Predictor.039...39",0.1,0.12,-0.15,0.11,0.32,0.11,"Phylogenetic"
