"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.001...1",0.46,0.45,-0.3,0.41,1.46,0.31,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.002...2",0.05,0.41,-0.78,0.06,0.85,0.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.003...3",-0.05,0.42,-0.92,-0.04,0.74,0.01,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.004...4",-0.03,0.41,-0.88,-0.02,0.76,0.02,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.005...5",0.21,0.41,-0.61,0.21,1.02,0.21,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.006...6",0.58,0.46,-0.24,0.56,1.53,0.47,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.007...7",0.45,0.42,-0.35,0.43,1.32,0.39,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.008...8",0.74,0.48,-0.12,0.71,1.74,0.62,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.009...9",0.38,0.42,-0.42,0.37,1.24,0.35,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.010...10",-0.34,0.46,-1.3,-0.31,0.5,-0.22,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.011...11",-0.06,0.42,-0.91,-0.05,0.74,-0.02,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.012...12",0.23,0.41,-0.57,0.22,1.04,0.21,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.013...13",0.16,0.41,-0.64,0.16,0.97,0.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.014...14",-0.25,0.44,-1.14,-0.23,0.57,-0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.015...15",0.44,0.43,-0.35,0.41,1.33,0.35,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.016...16",0.32,0.25,-0.16,0.32,0.82,0.31,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.017...17",0.29,0.24,-0.17,0.29,0.78,0.27,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.018...18",0.25,0.27,-0.27,0.25,0.78,0.24,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.019...19",-0.09,0.23,-0.54,-0.08,0.34,-0.07,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.020...20",-0.11,0.27,-0.65,-0.1,0.39,-0.08,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.021...21",-0.12,0.24,-0.62,-0.12,0.34,-0.1,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.022...22",0.17,0.26,-0.34,0.17,0.67,0.17,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.023...23",-0.04,0.23,-0.49,-0.03,0.4,-0.02,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.024...24",0.03,0.23,-0.45,0.03,0.48,0.04,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.025...25",0.2,0.23,-0.26,0.2,0.66,0.2,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.026...26",0.2,0.22,-0.23,0.19,0.65,0.19,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.027...27",0.02,0.21,-0.41,0.02,0.43,0.03,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.028...28",0.13,0.22,-0.3,0.13,0.56,0.13,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.029...29",0.26,0.24,-0.2,0.26,0.73,0.25,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.030...30",0.1,0.3,-0.5,0.1,0.69,0.11,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.031...31",-0.08,0.35,-0.8,-0.06,0.57,-0.03,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.032...32",0.16,0.29,-0.38,0.15,0.76,0.13,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.033...33",0.23,0.29,-0.33,0.22,0.83,0.21,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.034...34",0.27,0.3,-0.28,0.25,0.89,0.22,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.035...35",0.5,0.34,-0.13,0.49,1.19,0.45,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.036...36",0.02,0.27,-0.52,0.03,0.54,0.04,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.037...37",0.35,0.4,-0.42,0.34,1.17,0.31,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.038...38",-0.3,0.41,-1.17,-0.28,0.44,-0.2,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.039...39",-0.18,0.25,-0.7,-0.17,0.3,-0.15,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.040...40",0.16,0.28,-0.38,0.15,0.71,0.14,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.041...41",0.21,0.4,-0.57,0.2,1,0.2,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.042...42",0.06,0.39,-0.72,0.07,0.84,0.08,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.043...43",-0.21,0.43,-1.1,-0.19,0.57,-0.13,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.044...44",0.51,0.35,-0.14,0.5,1.23,0.45,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.045...45",0.08,0.38,-0.67,0.09,0.83,0.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.046...46",-0.31,0.45,-1.24,-0.29,0.5,-0.22,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.047...47",-0.35,0.48,-1.33,-0.33,0.53,-0.27,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.048...48",0.74,0.48,-0.11,0.72,1.73,0.64,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.049...49",0.45,0.43,-0.38,0.44,1.32,0.41,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.050...50",0.31,0.44,-0.51,0.3,1.2,0.26,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.051...51",-0.13,0.43,-1,-0.12,0.68,-0.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.052...52",-0.17,0.43,-1.06,-0.16,0.65,-0.13,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.053...53",-0.13,0.44,-1.01,-0.12,0.71,-0.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.054...54",-0.16,0.44,-1.05,-0.15,0.66,-0.1,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.055...55",-0.19,0.44,-1.09,-0.17,0.64,-0.13,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.056...56",0.55,0.46,-0.31,0.54,1.48,0.5,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.057...57",-0.16,0.45,-1.08,-0.15,0.67,-0.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.058...58",0.05,0.42,-0.8,0.06,0.87,0.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.059...59",0.44,0.44,-0.41,0.43,1.32,0.41,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.060...60",0.22,0.43,-0.64,0.22,1.07,0.22,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.061...61",0.42,0.43,-0.41,0.4,1.29,0.37,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.062...62",0.1,0.4,-0.69,0.1,0.91,0.1,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.063...63",-0.28,0.38,-1.08,-0.25,0.42,-0.19,"Phylogenetic+Spatial: local+L1 speakers (linear)"
