"","model","AUTOTYP_area","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"1","Phylogenetic",NA,NA,NA,NA,NA,NA,NA,NA
"2","Spatial: local",NA,NA,NA,NA,NA,NA,NA,NA
"3","Spatial: regional",NA,NA,NA,NA,NA,NA,NA,NA
"4","Areal","African Savannah",-0.46,0.25,-0.97,-0.46,0.03,-0.46,0
"5","Areal","Alaska-Oregon",-0.28,0.35,-0.99,-0.28,0.39,-0.28,0
"6","Areal","Basin and Plains",0.23,0.41,-0.55,0.22,1.06,0.22,0
"7","Areal","Europe",0.27,0.24,-0.2,0.27,0.76,0.27,0
"8","Areal","Greater Abyssinia",0.17,0.2,-0.22,0.17,0.56,0.17,0
"9","Areal","Greater Mesopotamia",0.32,0.32,-0.29,0.31,0.95,0.31,0
"10","Areal","Indic",-0.11,0.18,-0.47,-0.11,0.24,-0.11,0
"11","Areal","Inner Asia",0.22,0.29,-0.34,0.22,0.8,0.22,0
"12","Areal","Mesoamerica",0.45,0.42,-0.33,0.43,1.32,0.37,0
"13","Areal","N Australia",0.18,0.4,-0.59,0.18,1,0.18,0
"14","Areal","N Coast New Guinea",-0.37,0.35,-1.08,-0.36,0.31,-0.36,0
"15","Areal","Oceania",-0.63,0.24,-1.11,-0.62,-0.16,-0.62,0
"16","Areal","S Africa",0.85,0.23,0.4,0.85,1.32,0.85,0
"17","Areal","S New Guinea",0.02,0.4,-0.77,0.02,0.82,0.02,0
"18","Areal","Southeast Asia",-0.54,0.27,-1.08,-0.54,-0.03,-0.54,0
"19","Phylogenetic+Spatial: local",NA,NA,NA,NA,NA,NA,NA,NA
"20","Phylogenetic+Spatial: regional",NA,NA,NA,NA,NA,NA,NA,NA
"21","Phylogenetic+Areal","African Savannah",-0.49,0.27,-1.04,-0.49,0.02,-0.49,0
"22","Phylogenetic+Areal","Alaska-Oregon",-0.28,0.35,-0.99,-0.27,0.39,-0.27,0
"23","Phylogenetic+Areal","Basin and Plains",0.21,0.4,-0.55,0.2,1.03,0.2,0
"24","Phylogenetic+Areal","Europe",0.2,0.26,-0.3,0.2,0.71,0.2,0
"25","Phylogenetic+Areal","Greater Abyssinia",0.16,0.22,-0.27,0.16,0.59,0.16,0
"26","Phylogenetic+Areal","Greater Mesopotamia",0.28,0.31,-0.32,0.27,0.91,0.27,0
"27","Phylogenetic+Areal","Indic",-0.13,0.19,-0.51,-0.13,0.24,-0.13,0
"28","Phylogenetic+Areal","Inner Asia",0.19,0.29,-0.37,0.19,0.78,0.19,0
"29","Phylogenetic+Areal","Mesoamerica",0.41,0.42,-0.35,0.39,1.29,0.32,0
"30","Phylogenetic+Areal","N Australia",0.19,0.4,-0.57,0.18,1.01,0.18,0
"31","Phylogenetic+Areal","N Coast New Guinea",-0.27,0.36,-1,-0.25,0.41,-0.25,0
"32","Phylogenetic+Areal","Oceania",-0.49,0.28,-1.03,-0.49,0.05,-0.49,0
"33","Phylogenetic+Areal","S Africa",0.75,0.29,0.18,0.75,1.32,0.75,0
"34","Phylogenetic+Areal","S New Guinea",0.08,0.39,-0.69,0.08,0.86,0.08,0
"35","Phylogenetic+Areal","Southeast Asia",-0.51,0.27,-1.06,-0.5,0.01,-0.5,0
