"","x for the Gaussian observations","y for the Gaussian observations","model"
"1",4.67881767755485,9.59524248208012e-05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",4.92264894207135,0.000824585326328835,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",5.21964445526448,0.00678066195353746,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",5.60360353529758,0.050949102889505,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5.79838113146588,0.109094737452651,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",5.97059398629048,0.187947028708968,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",6.17562339056359,0.310939855063636,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",6.31832352182007,0.405386086013592,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",6.43362875201772,0.47898636703788,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",6.53425445629719,0.536162544057049,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",6.62619339267287,0.57936895298956,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",6.71227483663938,0.609908317528377,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",6.75395117250818,0.620825647060995,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",6.7949418732315,0.628968450964258,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",6.83551254243933,0.634440961578797,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",6.87593069671884,0.637307786515259,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",6.89207068248309,0.637731344087668,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",6.90820150568401,0.637745323202839,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",6.91626481062297,0.637599616047994,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",6.92432741616195,0.637352629523185,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",6.94045263021257,0.636556494733883,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",6.95658132323538,0.63536047117947,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",6.97273518428031,0.633766482647945,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",6.98895750911467,0.631772156274806,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",6.99709643082741,0.630624876349873,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",7.00525470914586,0.629377587845992,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",7.02163193374714,0.626583314480952,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",7.03809445623439,0.623390201742608,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",7.07965963483289,0.613671261437144,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",7.12187941734999,0.601496759566624,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",7.16499123137531,0.586859471178946,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",7.20935038203909,0.569703962427531,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",7.30270949486155,0.527813388500377,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",7.40502387698896,0.475355390264484,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",7.52034693088688,0.411940712167444,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",7.6568220957111,0.336494206551516,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",7.832743034673,0.246716228489248,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",8.099889037126,0.139514428587348,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",8.33890737579813,0.0763891282835069,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",8.62665975740852,0.0333293587516243,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",9.25601731303166,0.00385425973377885,"Phylogenetic+Spatial: local+L1 speakers (linear)"
