"","x for the Gaussian observations","y for the Gaussian observations","model"
"1",0.872756149621414,0.00831605911127575,"L1 speakers (linear)"
"2",0.879985273959307,0.0173928040391163,"L1 speakers (linear)"
"3",0.898965843197237,0.0965180338555263,"L1 speakers (linear)"
"4",0.926883362587091,0.71092532666831,"L1 speakers (linear)"
"5",0.940699703602474,1.5417898130586,"L1 speakers (linear)"
"6",0.952705114660462,2.69646293140701,"L1 speakers (linear)"
"7",0.966686437834054,4.54140124042529,"L1 speakers (linear)"
"8",0.97620277404741,5.99320294897739,"L1 speakers (linear)"
"9",0.98381218036566,7.15932187802296,"L1 speakers (linear)"
"10",0.990372134947074,8.09101832820091,"L1 speakers (linear)"
"11",0.996288088229637,8.81822100085071,"L1 speakers (linear)"
"12",1.00179115347704,9.36004259055733,"L1 speakers (linear)"
"13",1.00443677719341,9.56560705090857,"L1 speakers (linear)"
"14",1.00703180140678,9.72923007424987,"L1 speakers (linear)"
"15",1.00958895373715,9.85183629058359,"L1 speakers (linear)"
"16",1.01211964185987,9.93414332512275,"L1 speakers (linear)"
"17",1.0131268586241,9.95590789660483,"L1 speakers (linear)"
"18",1.01413224820652,9.97134061495187,"L1 speakers (linear)"
"19",1.01463449174688,9.97668975490468,"L1 speakers (linear)"
"20",1.01513648189572,9.98046330499079,"L1 speakers (linear)"
"21",1.01613994644716,9.98329307205551,"L1 speakers (linear)"
"22",1.01714360221262,9.97984544392564,"L1 speakers (linear)"
"23",1.01814786147685,9.97013076589251,"L1 speakers (linear)"
"24",1.01915335382772,9.9541567483312,"L1 speakers (linear)"
"25",1.01965685869787,9.94382165439983,"L1 speakers (linear)"
"26",1.0201609215833,9.9319219532651,"L1 speakers (linear)"
"27",1.02117090369691,9.90343192588177,"L1 speakers (linear)"
"28",1.02218423378236,9.86867388548523,"L1 speakers (linear)"
"29",1.02473601273248,9.75430341660598,"L1 speakers (linear)"
"30",1.02732315735596,9.60045156808489,"L1 speakers (linear)"
