"","model","AUTOTYP_area","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"1","Phylogenetic",NA,NA,NA,NA,NA,NA,NA,NA
"2","Spatial: local",NA,NA,NA,NA,NA,NA,NA,NA
"3","Spatial: regional",NA,NA,NA,NA,NA,NA,NA,NA
"4","Areal","African Savannah",-0.46,0.28,-1.04,-0.45,0.03,-0.45,0
"5","Areal","Alaska-Oregon",-0.05,0.3,-0.68,-0.04,0.55,-0.02,0
"6","Areal","Basin and Plains",0.09,0.33,-0.55,0.07,0.8,0.03,0
"7","Areal","Europe",0.32,0.25,-0.13,0.3,0.84,0.28,0
"8","Areal","Greater Abyssinia",-0.05,0.19,-0.43,-0.04,0.32,-0.03,0
"9","Areal","Greater Mesopotamia",-0.05,0.28,-0.64,-0.04,0.51,-0.02,0
"10","Areal","Indic",-0.14,0.17,-0.5,-0.14,0.18,-0.12,0
"11","Areal","Inner Asia",-0.13,0.27,-0.71,-0.11,0.39,-0.06,0
"12","Areal","Mesoamerica",0.09,0.33,-0.55,0.07,0.8,0.03,0
"13","Areal","N Australia",0.16,0.34,-0.48,0.13,0.9,0.05,0
"14","Areal","N Coast New Guinea",-0.01,0.3,-0.62,0,0.61,0,0
"15","Areal","Oceania",0.1,0.23,-0.35,0.09,0.56,0.06,0
"16","Areal","S Africa",0.41,0.24,-0.03,0.4,0.91,0.39,0
"17","Areal","S New Guinea",-0.06,0.33,-0.76,-0.04,0.59,-0.02,0
"18","Areal","Southeast Asia",-0.3,0.27,-0.87,-0.28,0.18,-0.24,0
"19","Phylogenetic+Spatial: local",NA,NA,NA,NA,NA,NA,NA,NA
"20","Phylogenetic+Spatial: regional",NA,NA,NA,NA,NA,NA,NA,NA
"21","Phylogenetic+Areal","African Savannah",-0.51,0.3,-1.14,-0.49,0.02,-0.44,0
"22","Phylogenetic+Areal","Alaska-Oregon",-0.07,0.34,-0.78,-0.06,0.59,-0.04,0
"23","Phylogenetic+Areal","Basin and Plains",0.11,0.37,-0.61,0.09,0.89,0.06,0
"24","Phylogenetic+Areal","Europe",0.39,0.28,-0.12,0.37,0.99,0.33,0
"25","Phylogenetic+Areal","Greater Abyssinia",-0.03,0.23,-0.48,-0.03,0.42,-0.03,0
"26","Phylogenetic+Areal","Greater Mesopotamia",-0.03,0.31,-0.66,-0.03,0.58,-0.02,0
"27","Phylogenetic+Areal","Indic",-0.19,0.2,-0.62,-0.18,0.18,-0.17,0
"28","Phylogenetic+Areal","Inner Asia",-0.12,0.3,-0.73,-0.11,0.46,-0.09,0
"29","Phylogenetic+Areal","Mesoamerica",0.11,0.37,-0.61,0.09,0.89,0.06,0
"30","Phylogenetic+Areal","N Australia",0.19,0.38,-0.51,0.17,1.02,0.11,0
"31","Phylogenetic+Areal","N Coast New Guinea",-0.01,0.33,-0.69,-0.01,0.66,0,0
"32","Phylogenetic+Areal","Oceania",0.1,0.26,-0.41,0.1,0.63,0.09,0
"33","Phylogenetic+Areal","S Africa",0.43,0.29,-0.09,0.42,1.04,0.38,0
"34","Phylogenetic+Areal","S New Guinea",-0.07,0.37,-0.84,-0.06,0.64,-0.04,0
"35","Phylogenetic+Areal","Southeast Asia",-0.38,0.3,-1.02,-0.36,0.15,-0.3,0
