"","model","sp_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"1","Phylogenetic",NA,NA,NA,NA,NA,NA,NA,NA
"2","Spatial: local",1,0.06,0.28,-0.48,0.05,0.62,0.04,0
"3","Spatial: local",2,-0.1,0.38,-0.89,-0.09,0.64,-0.05,0
"4","Spatial: local",3,-0.19,0.39,-1.02,-0.16,0.54,-0.09,0
"5","Spatial: local",4,-0.16,0.39,-0.98,-0.14,0.57,-0.08,0
"6","Spatial: local",5,0.02,0.38,-0.74,0.01,0.78,0.01,0
"7","Spatial: local",6,0.37,0.43,-0.37,0.33,1.29,0.19,0
"8","Spatial: local",7,0.23,0.4,-0.5,0.2,1.07,0.11,0
"9","Spatial: local",8,0.49,0.46,-0.28,0.44,1.47,0.25,0
"10","Spatial: local",9,0.17,0.39,-0.56,0.15,0.99,0.08,0
"11","Spatial: local",10,-0.41,0.44,-1.35,-0.37,0.34,-0.2,0
"12","Spatial: local",11,-0.16,0.39,-0.98,-0.14,0.57,-0.08,0
"13","Spatial: local",12,0.05,0.38,-0.69,0.05,0.83,0.03,0
"14","Spatial: local",13,0.01,0.38,-0.75,0.01,0.78,0.01,0
"15","Spatial: local",14,-0.29,0.41,-1.17,-0.25,0.43,-0.14,0
"16","Spatial: local",15,0.25,0.4,-0.47,0.22,1.11,0.12,0
"17","Spatial: local",16,0.13,0.22,-0.28,0.11,0.57,0.08,0
"18","Spatial: local",17,0.11,0.22,-0.29,0.1,0.56,0.07,0
"19","Spatial: local",18,0.1,0.25,-0.38,0.1,0.6,0.08,0
"20","Spatial: local",19,-0.22,0.21,-0.66,-0.21,0.16,-0.17,0
"21","Spatial: local",20,-0.26,0.24,-0.75,-0.24,0.16,-0.19,0
"22","Spatial: local",21,-0.24,0.23,-0.72,-0.23,0.17,-0.18,0
"23","Spatial: local",22,0.03,0.24,-0.44,0.03,0.5,0.03,0
"24","Spatial: local",23,-0.18,0.21,-0.62,-0.17,0.2,-0.13,0
"25","Spatial: local",24,-0.13,0.21,-0.56,-0.12,0.26,-0.09,0
"26","Spatial: local",25,0.05,0.21,-0.37,0.05,0.48,0.04,0
"27","Spatial: local",26,0.05,0.2,-0.32,0.05,0.46,0.03,0
"28","Spatial: local",27,-0.11,0.19,-0.51,-0.1,0.26,-0.08,0
"29","Spatial: local",28,-0.03,0.2,-0.43,-0.03,0.35,-0.03,0
"30","Spatial: local",29,0.11,0.22,-0.3,0.11,0.56,0.08,0
"31","Spatial: local",30,-0.09,0.26,-0.62,-0.08,0.42,-0.06,0
"32","Spatial: local",31,-0.2,0.33,-0.9,-0.18,0.4,-0.11,0
"33","Spatial: local",32,0.01,0.24,-0.46,0,0.52,-0.02,0
"34","Spatial: local",33,0.02,0.26,-0.48,0.01,0.56,-0.01,0
"35","Spatial: local",34,0.07,0.26,-0.41,0.06,0.63,0.02,0
"36","Spatial: local",35,0.3,0.32,-0.26,0.28,0.98,0.21,0
"37","Spatial: local",36,-0.1,0.24,-0.6,-0.1,0.36,-0.08,0
"38","Spatial: local",37,0.18,0.38,-0.53,0.16,0.98,0.1,0
"39","Spatial: local",38,-0.38,0.39,-1.22,-0.34,0.27,-0.21,0
"40","Spatial: local",39,-0.24,0.22,-0.7,-0.23,0.15,-0.19,0
"41","Spatial: local",40,0.04,0.24,-0.42,0.03,0.54,0,0
"42","Spatial: local",41,0.03,0.36,-0.69,0.03,0.78,0.01,0
"43","Spatial: local",42,-0.06,0.37,-0.82,-0.05,0.67,-0.03,0
"44","Spatial: local",43,-0.31,0.41,-1.18,-0.27,0.41,-0.15,0
"45","Spatial: local",44,0.34,0.33,-0.24,0.31,1.03,0.23,0
"46","Spatial: local",45,-0.08,0.35,-0.79,-0.07,0.61,-0.05,0
"47","Spatial: local",46,-0.37,0.43,-1.28,-0.33,0.37,-0.18,0
"48","Spatial: local",47,-0.42,0.44,-1.37,-0.38,0.33,-0.21,0
"49","Spatial: local",48,0.48,0.44,-0.25,0.44,1.43,0.25,0
"50","Spatial: local",49,0.19,0.38,-0.52,0.17,0.99,0.1,0
"51","Spatial: local",50,0.19,0.39,-0.54,0.16,1.01,0.09,0
"52","Spatial: local",51,-0.19,0.39,-1.02,-0.16,0.53,-0.09,0
"53","Spatial: local",52,-0.23,0.4,-1.07,-0.2,0.5,-0.11,0
"54","Spatial: local",53,-0.15,0.39,-0.97,-0.13,0.58,-0.07,0
"55","Spatial: local",54,-0.2,0.39,-1.04,-0.18,0.52,-0.1,0
"56","Spatial: local",55,-0.22,0.4,-1.07,-0.19,0.5,-0.11,0
"57","Spatial: local",56,0.31,0.41,-0.42,0.27,1.19,0.15,0
"58","Spatial: local",57,-0.26,0.4,-1.12,-0.22,0.47,-0.12,0
"59","Spatial: local",58,-0.1,0.38,-0.9,-0.09,0.63,-0.05,0
"60","Spatial: local",59,0.19,0.39,-0.54,0.16,1.02,0.09,0
"61","Spatial: local",60,0,0.37,-0.75,0,0.76,0,0
"62","Spatial: local",61,0.19,0.39,-0.54,0.16,1.02,0.09,0
"63","Spatial: local",62,0.04,0.37,-0.7,0.03,0.78,0.02,0
"64","Spatial: local",63,-0.3,0.34,-1.04,-0.26,0.28,-0.15,0
"65","Spatial: local",64,-0.4,0.39,-1.25,-0.36,0.26,-0.22,0
"66","Spatial: local",65,-0.1,0.28,-0.67,-0.09,0.46,-0.07,0
"67","Spatial: local",66,-0.17,0.39,-0.99,-0.15,0.56,-0.08,0
"68","Spatial: local",67,-0.04,0.37,-0.8,-0.03,0.71,-0.02,0
"69","Spatial: local",68,-0.3,0.37,-1.1,-0.27,0.37,-0.17,0
"70","Spatial: local",69,0.22,0.39,-0.51,0.19,1.06,0.11,0
"71","Spatial: local",70,-0.48,0.46,-1.47,-0.44,0.28,-0.24,0
"72","Spatial: local",71,0.43,0.44,-0.32,0.38,1.37,0.21,0
"73","Spatial: local",72,0.31,0.41,-0.41,0.28,1.19,0.16,0
"74","Spatial: local",73,-0.26,0.4,-1.12,-0.23,0.47,-0.12,0
"75","Spatial: local",74,0.16,0.39,-0.57,0.14,0.98,0.08,0
"76","Spatial: local",75,-0.04,0.38,-0.81,-0.03,0.72,-0.02,0
"77","Spatial: local",76,0.16,0.39,-0.57,0.14,0.98,0.08,0
"78","Spatial: local",77,-0.08,0.38,-0.87,-0.07,0.66,-0.04,0
"79","Spatial: local",78,0.12,0.38,-0.62,0.1,0.91,0.06,0
"80","Spatial: local",79,0.52,0.46,-0.25,0.47,1.51,0.27,0
"81","Spatial: local",80,0.35,0.42,-0.38,0.31,1.26,0.18,0
"82","Spatial: local",81,-0.14,0.38,-0.94,-0.12,0.59,-0.07,0
"83","Spatial: local",82,0.05,0.28,-0.5,0.05,0.61,0.04,0
"84","Spatial: local",83,-0.04,0.33,-0.72,-0.04,0.61,-0.02,0
"85","Spatial: local",84,0.05,0.27,-0.48,0.05,0.59,0.04,0
"86","Spatial: local",85,0.46,0.38,-0.2,0.43,1.25,0.32,0
"87","Spatial: local",86,0.45,0.38,-0.21,0.42,1.25,0.29,0
"88","Spatial: local",87,0.24,0.37,-0.45,0.21,1.02,0.13,0
"89","Spatial: local",88,-0.08,0.36,-0.83,-0.07,0.63,-0.05,0
"90","Spatial: local",89,-0.17,0.37,-0.94,-0.15,0.53,-0.09,0
"91","Spatial: local",90,-0.16,0.39,-0.98,-0.14,0.57,-0.08,0
"92","Spatial: local",91,0.01,0.37,-0.74,0.01,0.75,0.01,0
"93","Spatial: local",92,0.15,0.39,-0.58,0.13,0.96,0.07,0
"94","Spatial: local",93,0.37,0.43,-0.37,0.33,1.29,0.19,0
"95","Spatial: local",94,0.16,0.39,-0.57,0.14,0.98,0.08,0
"96","Spatial: local",95,0.33,0.42,-0.4,0.29,1.22,0.17,0
"97","Spatial: local",96,0.2,0.39,-0.53,0.17,1.02,0.1,0
"98","Spatial: local",97,0.22,0.39,-0.5,0.19,1.05,0.11,0
"99","Spatial: local",98,0.56,0.48,-0.23,0.51,1.58,0.29,0
"100","Spatial: local",99,0.33,0.41,-0.39,0.29,1.2,0.18,0
