"","x for the Gaussian observations","y for the Gaussian observations","model"
"1",0.355256765625626,0.000293798141575468,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",0.445862937809456,0.00210125822872218,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",0.578678306154586,0.0139992563256877,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",0.792628289611772,0.0824996417396629,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",0.92121955449818,0.157866034106139,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",1.04666816457586,0.247628828913161,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",1.21191671704152,0.370390152214056,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",1.3354972656605,0.452139359239278,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",1.44140008010142,0.509335565263353,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",1.53892296909545,0.549448752958174,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",1.6302656697259,0.575649298347349,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",1.71686299887986,0.590633751238395,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",1.75907916072823,0.594673838007308,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",1.80144313943266,0.596721423756079,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",1.84404318553354,0.596875539261018,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",1.88695817240946,0.59518065339144,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",1.90422997233775,0.593990686734416,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",1.92156975280622,0.592530024923205,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",1.93026669578813,0.591703416212921,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",1.93898250323495,0.590815349971339,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",1.95647318967957,0.588862839802063,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",1.97404674905912,0.58668817447478,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",1.99170808192784,0.584306545277313,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",2.00946204343496,0.581731125005083,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",2.01837526202946,0.580369608236097,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",2.02731343206936,0.578955814921814,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",2.0452669757235,0.575962266111504,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",2.06332731453284,0.572732770667502,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",2.10897478894879,0.563518934931777,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",2.15538412455583,0.552493122212634,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",2.20270852989786,0.539436107607379,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",2.25159497108005,0.523995932699373,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",2.355712011605,0.484764888848035,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",2.47160570967562,0.432856579176384,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",2.60533290068201,0.368888431400478,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",2.76773446922668,0.293472566756784,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",2.97967218727625,0.20788856820473,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",3.31366414165182,0.111474937509591,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",3.63552599242269,0.0572700155307362,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",4.03574835188668,0.0235925414462827,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",5.01587954331856,0.00234156071340136,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"42",5.98916111059319,0.000223668790779004,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"43",6.97318942080923,2.14022955486651e-05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"44",0.350598311256552,0.000298122641122781,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"45",0.439862710117093,0.00213300217072863,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"46",0.570661967248899,0.0142160312882367,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"47",0.781289752956944,0.0838165813740644,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"48",0.907852563494826,0.160417986903144,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"49",1.03130167895565,0.251664203313924,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"50",1.19390291846071,0.376470929046765,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"51",1.31547781394104,0.459571262045644,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"52",1.41969976031053,0.517727960558229,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"53",1.51564980689437,0.55849141045953,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"54",1.60550015212347,0.585096291961012,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"55",1.69067709428983,0.600293891382944,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"56",1.73223156669092,0.604384366972119,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"57",1.77393571118594,0.606445350754075,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"58",1.81587200479933,0.606577071126762,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"59",1.85811781644573,0.604822093565327,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"60",1.87512009070703,0.603599684077842,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"61",1.89218914014044,0.602102651856733,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"62",1.900750235248,0.601256437092031,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"63",1.90932985701479,0.600347844709103,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"64",1.92654710980583,0.598351601719155,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"65",1.94384573736421,0.596129759597186,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"66",1.96123054164133,0.593697661907861,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"67",1.97870627862053,0.591067845377156,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"68",1.98747971782927,0.589676850258309,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"69",1.99627764705414,0.588232016618564,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"70",2.01394927454546,0.585171727760691,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"71",2.03172570043709,0.581869332176839,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"72",2.07665399190815,0.572446829223001,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"73",2.12232944662727,0.561175992285303,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"74",2.16891703124274,0.547834807415156,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"75",2.21706066244624,0.53206564469286,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"76",2.31962325682957,0.49204213124209,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"77",2.43382119651572,0.439184992307358,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"78",2.56561819462772,0.374164136360249,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"79",2.72567151698638,0.297596818638662,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"80",2.93455258326938,0.210783681632774,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"81",3.26403137144171,0.112979612718534,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
