"","sp_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,0.05,0.3,-0.55,0.05,0.66,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",2,-0.13,0.4,-0.96,-0.12,0.65,-0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",3,-0.23,0.41,-1.09,-0.22,0.54,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",4,-0.19,0.41,-1.03,-0.18,0.58,-0.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5,-0.01,0.4,-0.81,-0.01,0.79,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",6,0.42,0.44,-0.37,0.39,1.34,0.32,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",7,0.24,0.41,-0.54,0.22,1.1,0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",8,0.54,0.46,-0.28,0.51,1.52,0.42,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",9,0.17,0.41,-0.61,0.16,1.01,0.13,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",10,-0.47,0.45,-1.42,-0.44,0.34,-0.36,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",11,-0.18,0.41,-1.03,-0.17,0.6,-0.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",12,0.05,0.4,-0.74,0.05,0.85,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",13,0.01,0.4,-0.78,0.01,0.81,0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",14,-0.32,0.43,-1.22,-0.29,0.47,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",15,0.29,0.41,-0.48,0.27,1.15,0.22,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",16,0.12,0.23,-0.32,0.12,0.6,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",17,0.11,0.24,-0.34,0.1,0.59,0.09,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",18,0.09,0.27,-0.45,0.09,0.62,0.09,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
