"","x for the Gaussian observations","y for the Gaussian observations","model"
"1",0.86254812690311,0.00398215405396507,"L1 speakers (linear)"
"2",0.881391022804891,0.00677247120451214,"L1 speakers (linear)"
"3",0.941111010079118,0.0271984755700539,"L1 speakers (linear)"
"4",1.04787197069455,0.17779956465379,"L1 speakers (linear)"
"5",1.10388581001829,0.375795201081178,"L1 speakers (linear)"
"6",1.1537079437339,0.643143536342559,"L1 speakers (linear)"
"7",1.21312449937341,1.05573025032257,"L1 speakers (linear)"
"8",1.25443243848482,1.36998517640466,"L1 speakers (linear)"
"9",1.28795635815889,1.61570834203437,"L1 speakers (linear)"
"10",1.31719831424541,1.80650316510821,"L1 speakers (linear)"
"11",1.34383588380902,1.95026732644096,"L1 speakers (linear)"
"12",1.36884162110316,2.05213453757183,"L1 speakers (linear)"
"13",1.38094666591586,2.08852301358507,"L1 speakers (linear)"
"14",1.39286527654987,2.11565485426416,"L1 speakers (linear)"
"15",1.40465086189276,2.13381307913121,"L1 speakers (linear)"
"16",1.41637322629366,2.14324813209106,"L1 speakers (linear)"
"17",1.42104990986776,2.14461558660275,"L1 speakers (linear)"
"18",1.42572170799159,2.14462529125949,"L1 speakers (linear)"
"19",1.42805641980814,2.14412488725128,"L1 speakers (linear)"
"20",1.43039265753145,2.14328888279854,"L1 speakers (linear)"
"21",1.43507190542575,2.14061213377191,"L1 speakers (linear)"
"22",1.43976134410807,2.13660010375281,"L1 speakers (linear)"
"23",1.44446237274487,2.13125885545922,"L1 speakers (linear)"
"24",1.44917639664861,2.12459539052558,"L1 speakers (linear)"
"25",1.45153872240521,2.12077025837873,"L1 speakers (linear)"
"26",1.45390482620164,2.11661759420625,"L1 speakers (linear)"
"27",1.45864907557723,2.10733424134722,"L1 speakers (linear)"
"28",1.46341354085837,2.09674810604749,"L1 speakers (linear)"
"29",1.47545880167796,2.06453343163663,"L1 speakers (linear)"
"30",1.48772122052125,2.02414206781441,"L1 speakers (linear)"
"31",1.5002430441342,1.97561507541303,"L1 speakers (linear)"
"32",1.5131172036257,1.91879308250217,"L1 speakers (linear)"
"33",1.54019185873718,1.78006155424414,"L1 speakers (linear)"
"34",1.56977266588356,1.60659431180685,"L1 speakers (linear)"
"35",1.60315153543045,1.39594431378437,"L1 speakers (linear)"
"36",1.6426442925559,1.14394903128698,"L1 speakers (linear)"
"37",1.69325274768191,0.843412836215163,"L1 speakers (linear)"
"38",1.77021992036258,0.480551231086707,"L1 speakers (linear)"
"39",1.83886528494106,0.265602488059188,"L1 speakers (linear)"
"40",1.9206105763283,0.118360867286997,"L1 speakers (linear)"
"41",2.09624550169973,0.0143815270163337,"L1 speakers (linear)"
"42",2.24209796000826,0.00180494928646446,"L1 speakers (linear)"
"43",2.32978730377862,0.00047555372791478,"L1 speakers (linear)"
"44",0.81635018324585,0.000391510959249665,"L1 speakers (nonlinear)"
"45",0.878336077705029,0.00328334914400319,"L1 speakers (nonlinear)"
"46",0.955519242177673,0.026183118666171,"L1 speakers (nonlinear)"
"47",1.05828075787326,0.190605209011319,"L1 speakers (nonlinear)"
"48",1.11138258207185,0.401244745006345,"L1 speakers (nonlinear)"
"49",1.15926152306095,0.684190526572467,"L1 speakers (nonlinear)"
"50",1.2166257934789,1.11543925691616,"L1 speakers (nonlinear)"
"51",1.25717228098613,1.44282182140672,"L1 speakers (nonlinear)"
"52",1.29017036802594,1.69455440458679,"L1 speakers (nonlinear)"
"53",1.31883411602402,1.8858034856763,"L1 speakers (nonlinear)"
"54",1.34500671066784,2.02807749018409,"L1 speakers (nonlinear)"
"55",1.36999388637419,2.1289108057269,"L1 speakers (nonlinear)"
"56",1.38216028385903,2.16441896920245,"L1 speakers (nonlinear)"
"57",1.3941573219193,2.19044791510292,"L1 speakers (nonlinear)"
"58",1.40601789593682,2.20740614272785,"L1 speakers (nonlinear)"
"59",1.41777240647682,2.21560952349172,"L1 speakers (nonlinear)"
"60",1.42245090517085,2.2164777713899,"L1 speakers (nonlinear)"
"61",1.42711869376793,2.2159831080217,"L1 speakers (nonlinear)"
"62",1.429449096799,2.21522823281054,"L1 speakers (nonlinear)"
"63",1.43177744680101,2.2141369576231,"L1 speakers (nonlinear)"
"64",1.43642879509426,2.21095130968425,"L1 speakers (nonlinear)"
"65",1.44107432729811,2.20643873858636,"L1 speakers (nonlinear)"
"66",1.44571559099908,2.20061242858586,"L1 speakers (nonlinear)"
"67",1.45035677020541,2.19348171843649,"L1 speakers (nonlinear)"
"68",1.45268658553504,2.18941505819537,"L1 speakers (nonlinear)"
"69",1.45502502888025,2.1850087130169,"L1 speakers (nonlinear)"
"70",1.45972902059834,2.17516926407842,"L1 speakers (nonlinear)"
"71",1.46447124616313,2.16394801274368,"L1 speakers (nonlinear)"
"72",1.47651141681996,2.12974976015158,"L1 speakers (nonlinear)"
"73",1.48885087755949,2.08658701489307,"L1 speakers (nonlinear)"
"74",1.50153861483259,2.03424106455419,"L1 speakers (nonlinear)"
"75",1.51463000988705,1.97262442172024,"L1 speakers (nonlinear)"
"76",1.54228646028162,1.82196326962101,"L1 speakers (nonlinear)"
"77",1.57245643573999,1.63553128910406,"L1 speakers (nonlinear)"
"78",1.60629075587861,1.41341446139406,"L1 speakers (nonlinear)"
"79",1.64671712210217,1.14955873930095,"L1 speakers (nonlinear)"
"80",1.69926212658017,0.837328807216923,"L1 speakers (nonlinear)"
"81",1.78000906179819,0.467654190560527,"L1 speakers (nonlinear)"
"82",1.85251907985382,0.254141774264994,"L1 speakers (nonlinear)"
"83",1.94144647519144,0.109207469580069,"L1 speakers (nonlinear)"
"84",2.13900256266273,0.0122751669418344,"L1 speakers (nonlinear)"
"85",2.31637998208061,0.00130554443542245,"L1 speakers (nonlinear)"
"86",2.48190536026343,0.000135481649872001,"L1 speakers (nonlinear)"
"87",0.868572916103969,0.00392462561285756,"L2 proportion (linear)"
"88",0.887597695107988,0.0066815642931085,"L2 proportion (linear)"
"89",0.947946543922415,0.0269640843233342,"L2 proportion (linear)"
"90",1.05555125611206,0.176471990824757,"L2 proportion (linear)"
"91",1.1119833011094,0.373023332825115,"L2 proportion (linear)"
"92",1.16217491546646,0.638412873164809,"L2 proportion (linear)"
"93",1.22203144666593,1.04797344251467,"L2 proportion (linear)"
"94",1.26364527683955,1.35992192832768,"L2 proportion (linear)"
"95",1.29741734993763,1.60384077809492,"L2 proportion (linear)"
"96",1.32687576151758,1.79323554593239,"L2 proportion (linear)"
"97",1.35371043357011,1.93594530431848,"L2 proportion (linear)"
"98",1.3789007721804,2.03706450108666,"L2 proportion (linear)"
"99",1.39109582814252,2.07318772652461,"L2 proportion (linear)"
"100",1.40310156227707,2.10011866833562,"L2 proportion (linear)"
"101",1.41497524562122,2.11814554247033,"L2 proportion (linear)"
"102",1.426784307297,2.1275114444142,"L2 proportion (linear)"
"103",1.43149515081823,2.12886881883717,"L2 proportion (linear)"
"104",1.43620083231454,2.12887867423048,"L2 proportion (linear)"
"105",1.43855285183197,2.12838208531915,"L2 proportion (linear)"
"106",1.44090673130855,2.12755220741397,"L2 proportion (linear)"
"107",1.44562113313842,2.12489489507562,"L2 proportion (linear)"
"108",1.45034555912819,2.1209120208637,"L2 proportion (linear)"
"109",1.45508141514822,2.11560981172865,"L2 proportion (linear)"
"110",1.45983011243557,2.10899542886757,"L2 proportion (linear)"
"111",1.46220971876259,2.1051986557457,"L2 proportion (linear)"
"112",1.46459306647696,2.10107692182184,"L2 proportion (linear)"
"113",1.46937169567909,2.09186321533191,"L2 proportion (linear)"
"114",1.47417183232945,2.08135400486499,"L2 proportion (linear)"
"115",1.48630708950473,2.0493733654611,"L2 proportion (linear)"
"116",1.49865955754203,2.00928041045738,"L2 proportion (linear)"
"117",1.51127407857554,1.96110922324335,"L2 proportion (linear)"
"118",1.52424397688814,1.90470174043642,"L2 proportion (linear)"
"119",1.55151870197655,1.76698834670509,"L2 proportion (linear)"
"120",1.5813179487372,1.59479550133559,"L2 proportion (linear)"
"121",1.61494367151118,1.38569287517556,"L2 proportion (linear)"
"122",1.65472869628312,1.13554905708311,"L2 proportion (linear)"
"123",1.70571139212948,0.837223200725424,"L2 proportion (linear)"
"124",1.7832470212937,0.477030528058478,"L2 proportion (linear)"
"125",1.85239925196277,0.263660314639093,"L2 proportion (linear)"
"126",1.93474603394834,0.117498066991505,"L2 proportion (linear)"
"127",2.11166017005228,0.0142791471983358,"L2 proportion (linear)"
"128",2.25842099598672,0.00179731380978659,"L2 proportion (linear)"
"129",2.34604511209664,0.000479020021158569,"L2 proportion (linear)"
"130",0.820853053685018,0.000389293253702289,"L2 proportion (nonlinear)"
"131",0.883194425054728,0.00326468615456471,"L2 proportion (nonlinear)"
"132",0.960821134678225,0.0260336642399085,"L2 proportion (nonlinear)"
"133",1.06417472464253,0.189513291945155,"L2 proportion (nonlinear)"
"134",1.11758148229658,0.398936215776201,"L2 proportion (nonlinear)"
"135",1.16573777147176,0.680260744608215,"L2 proportion (nonlinear)"
"136",1.22343257126322,1.10902938012215,"L2 proportion (nonlinear)"
"137",1.26421267811705,1.4345361862946,"L2 proportion (nonlinear)"
"138",1.29740138461115,1.68483877793358,"L2 proportion (nonlinear)"
"139",1.32623037217845,1.87500842561724,"L2 proportion (nonlinear)"
"140",1.35255240345873,2.01648300327445,"L2 proportion (nonlinear)"
"141",1.37768219408027,2.1167643826311,"L2 proportion (nonlinear)"
"142",1.38991811578524,2.15208544037773,"L2 proportion (nonlinear)"
"143",1.40198374083471,2.17798345846116,"L2 proportion (nonlinear)"
"144",1.41391213604007,2.19486485401233,"L2 proportion (nonlinear)"
"145",1.42573386074268,2.2030440334475,"L2 proportion (nonlinear)"
"146",1.43043910847198,2.20391690769667,"L2 proportion (nonlinear)"
"147",1.43513358157851,2.20343483243888,"L2 proportion (nonlinear)"
"148",1.43747730538398,2.20268919231962,"L2 proportion (nonlinear)"
"149",1.439818963256,2.20160908908125,"L2 proportion (nonlinear)"
"150",1.44449689272499,2.19845152400524,"L2 proportion (nonlinear)"
"151",1.44916896676952,2.19397456819217,"L2 proportion (nonlinear)"
"152",1.45383674084594,2.18819126216876,"L2 proportion (nonlinear)"
"153",1.4585043005127,2.18111103242006,"L2 proportion (nonlinear)"
"154",1.4608472584432,2.17707260698197,"L2 proportion (nonlinear)"
"155",1.46319888906799,2.17269643270744,"L2 proportion (nonlinear)"
"156",1.46792939676125,2.16292314623787,"L2 proportion (nonlinear)"
"157",1.47269833947611,2.15177583712225,"L2 proportion (nonlinear)"
"158",1.4848062872292,2.11779660076447,"L2 proportion (nonlinear)"
"159",1.49721514384133,2.07490183711387,"L2 proportion (nonlinear)"
"160",1.50997418806147,2.02287283219277,"L2 proportion (nonlinear)"
"161",1.52313913152902,1.9616212927428,"L2 proportion (nonlinear)"
"162",1.55095097711987,1.81183277733263,"L2 proportion (nonlinear)"
"163",1.58129074142262,1.62645836029459,"L2 proportion (nonlinear)"
"164",1.61531465379204,1.40558924290353,"L2 proportion (nonlinear)"
"165",1.65596581881908,1.14321141370869,"L2 proportion (nonlinear)"
"166",1.70880204676465,0.832720341479791,"L2 proportion (nonlinear)"
"167",1.78999774829915,0.465082583190014,"L2 proportion (nonlinear)"
"168",1.86290768284818,0.252748421235573,"L2 proportion (nonlinear)"
"169",1.9523266083094,0.108608642278225,"L2 proportion (nonlinear)"
"170",2.15097021736808,0.0122079052915841,"L2 proportion (nonlinear)"
"171",2.32932035148276,0.00129840734163633,"L2 proportion (nonlinear)"
"172",2.49575025577614,0.000134745147253263,"L2 proportion (nonlinear)"
"173",0.81364877561744,0.000391398555616561,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"174",0.875649133241397,0.00328166498030809,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"175",0.952873428538662,0.0261631297981539,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"176",1.05572563443391,0.190392391852869,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"177",1.10889907175496,0.400764605600276,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"178",1.15683842205081,0.683196494288863,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"179",1.21429790372813,1.11358582842252,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"180",1.25491932456671,1.44016871165323,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"181",1.28798004823692,1.69113850575425,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"182",1.31670350637818,1.88170508120836,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"183",1.34294183883079,2.02339270725453,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"184",1.36799426591441,2.12366122675032,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"185",1.38019271099008,2.1588986747155,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"186",1.39222166272718,2.18466747593785,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"187",1.40411418106116,2.20137450510542,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"188",1.41590082045641,2.2093337749257,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"189",1.42059225573327,2.2101077439542,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"190",1.42527304366495,2.2095214928207,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"191",1.42760997284969,2.20872198531275,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"192",1.42994486824625,2.2075869310079,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"193",1.43460936983678,2.20431651304655,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"194",1.43926814673869,2.19972325752554,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"195",1.44392275634934,2.19382077141252,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"196",1.44857818682523,2.18661742871135,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"197",1.45091575361563,2.18251510484729,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"198",1.45326201860483,2.17807407283081,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"199",1.45798186598092,2.16816841655184,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"200",1.46274023375736,2.15688558235805,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"201",1.47482204492216,2.12255689663473,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"202",1.48720505324946,2.07930390391684,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"203",1.4999383514564,2.02691692413406,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"204",1.51307744571467,1.96531735956859,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"205",1.54083628528812,1.81486638224046,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"206",1.57111898106056,1.62888682788262,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"207",1.60508797577381,1.40743795952429,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"208",1.64569000430151,1.14446140848125,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"209",1.69847602083513,0.833403687937374,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"210",1.77960076985313,0.465347052899046,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"211",1.8524833622558,0.252815374752184,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"212",1.94187928004005,0.108614261714728,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"213",2.14057081057821,0.0122026480174639,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"214",2.31906382623475,0.00129724741379239,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"215",2.4857075137827,0.000134552335173083,"L1 speakers (nonlinear)+L2 proportion (nonlinear)"
"216",0.86051460057721,0.00397507965347633,"L1 speakers (linear)+L2 proportion (linear)"
"217",0.879393696323399,0.00675886356196083,"L1 speakers (linear)+L2 proportion (linear)"
"218",0.939257291962066,0.0271252922119797,"L1 speakers (linear)+L2 proportion (linear)"
"219",1.04633926788509,0.177227238349378,"L1 speakers (linear)+L2 proportion (linear)"
"220",1.10253826395533,0.37452791900033,"L1 speakers (linear)+L2 proportion (linear)"
"221",1.15253226472639,0.640887074973486,"L1 speakers (linear)+L2 proportion (linear)"
"222",1.21216283366802,1.05185431066701,"L1 speakers (linear)+L2 proportion (linear)"
"223",1.25362522464764,1.36480904743465,"L1 speakers (linear)+L2 proportion (linear)"
"224",1.28727765818031,1.6094724148398,"L1 speakers (linear)+L2 proportion (linear)"
"225",1.31663391167397,1.79940891262268,"L1 speakers (linear)+L2 proportion (linear)"
"226",1.34337728775613,1.9424927237832,"L1 speakers (linear)+L2 proportion (linear)"
"227",1.36848365979458,2.04384224593825,"L1 speakers (linear)+L2 proportion (linear)"
"228",1.3806381156036,2.08003035256681,"L1 speakers (linear)+L2 proportion (linear)"
"229",1.39260523263699,2.10699820639748,"L1 speakers (linear)+L2 proportion (linear)"
"230",1.4044396412039,2.12503030793246,"L1 speakers (linear)+L2 proportion (linear)"
"231",1.41621060048837,2.13437483098004,"L1 speakers (linear)+L2 proportion (linear)"
"232",1.42090662152197,2.13571612598442,"L1 speakers (linear)+L2 proportion (linear)"
"233",1.42559770913182,2.13570548786867,"L1 speakers (linear)+L2 proportion (linear)"
"234",1.42794216355679,2.1351970732624,"L1 speakers (linear)+L2 proportion (linear)"
"235",1.43028828653791,2.13435442797129,"L1 speakers (linear)+L2 proportion (linear)"
"236",1.43498731215336,2.13166860193775,"L1 speakers (linear)+L2 proportion (linear)"
"237",1.43969654251713,2.12765316276551,"L1 speakers (linear)+L2 proportion (linear)"
"238",1.44441738184342,2.12231424369704,"L1 speakers (linear)+L2 proportion (linear)"
"239",1.44915124028174,2.11565891335333,"L1 speakers (linear)+L2 proportion (linear)"
"240",1.45152349369811,2.1118400463858,"L1 speakers (linear)+L2 proportion (linear)"
"241",1.45389953282668,2.10769512281636,"L1 speakers (linear)+L2 proportion (linear)"
"242",1.45866367802068,2.09843170552286,"L1 speakers (linear)+L2 proportion (linear)"
"243",1.46344848687179,2.0878705763281,"L1 speakers (linear)+L2 proportion (linear)"
"244",1.47554539152598,2.05574334614515,"L1 speakers (linear)+L2 proportion (linear)"
"245",1.48786020267684,2.01547700342845,"L1 speakers (linear)+L2 proportion (linear)"
"246",1.50043602230732,1.96711098359549,"L1 speakers (linear)+L2 proportion (linear)"
"247",1.51336616284376,1.91048676943501,"L1 speakers (linear)+L2 proportion (linear)"
"248",1.54055914791772,1.77226800761892,"L1 speakers (linear)+L2 proportion (linear)"
"249",1.57027071702241,1.59947698229829,"L1 speakers (linear)+L2 proportion (linear)"
"250",1.60379908884816,1.38968123338755,"L1 speakers (linear)+L2 proportion (linear)"
"251",1.64347123239567,1.1387419789371,"L1 speakers (linear)+L2 proportion (linear)"
