"","model","AUTOTYP_area","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"1","Phylogenetic",NA,NA,NA,NA,NA,NA,NA,NA
"2","Spatial: local",NA,NA,NA,NA,NA,NA,NA,NA
"3","Spatial: regional",NA,NA,NA,NA,NA,NA,NA,NA
"4","Areal","African Savannah",-0.53,0.12,-0.77,-0.53,-0.3,-0.53,0
"5","Areal","Alaska-Oregon",0.54,0.25,0.05,0.53,1.04,0.53,0
"6","Areal","Andean",0.25,0.2,-0.14,0.25,0.64,0.25,0
"7","Areal","Basin and Plains",0.48,0.18,0.12,0.48,0.84,0.47,0
"8","Areal","California",0.04,0.27,-0.49,0.04,0.58,0.04,0
"9","Areal","E North America",0.71,0.2,0.32,0.71,1.12,0.71,0
"10","Areal","Europe",0.3,0.17,-0.04,0.3,0.64,0.3,0
"11","Areal","Greater Abyssinia",-0.11,0.17,-0.45,-0.11,0.23,-0.11,0
"12","Areal","Greater Mesopotamia",0.13,0.17,-0.19,0.13,0.46,0.13,0
"13","Areal","Indic",-0.25,0.13,-0.5,-0.25,0,-0.25,0
"14","Areal","Inner Asia",-0.47,0.15,-0.77,-0.46,-0.16,-0.46,0
"15","Areal","Interior New Guinea",-0.43,0.2,-0.83,-0.43,-0.04,-0.43,0
"16","Areal","Mesoamerica",0.36,0.14,0.1,0.36,0.63,0.36,0
"17","Areal","N Africa",-0.02,0.28,-0.58,-0.02,0.53,-0.02,0
"18","Areal","N Australia",-0.06,0.21,-0.46,-0.06,0.34,-0.06,0
"19","Areal","N Coast Asia",0.16,0.22,-0.26,0.16,0.59,0.16,0
"20","Areal","N Coast New Guinea",-0.31,0.13,-0.57,-0.31,-0.05,-0.31,0
"21","Areal","NE South America",0.57,0.13,0.31,0.57,0.83,0.57,0
"22","Areal","Oceania",-0.23,0.11,-0.45,-0.23,-0.01,-0.23,0
"23","Areal","S Africa",0.16,0.13,-0.1,0.16,0.42,0.16,0
"24","Areal","S Australia",-0.11,0.27,-0.65,-0.11,0.42,-0.11,0
"25","Areal","S New Guinea",-0.46,0.15,-0.75,-0.46,-0.16,-0.45,0
"26","Areal","SE South America",0.16,0.26,-0.35,0.16,0.69,0.16,0
"27","Areal","Southeast Asia",-0.69,0.12,-0.92,-0.69,-0.46,-0.69,0
"28","Phylogenetic+Spatial: local",NA,NA,NA,NA,NA,NA,NA,NA
"29","Phylogenetic+Spatial: regional",NA,NA,NA,NA,NA,NA,NA,NA
"30","Phylogenetic+Areal","African Savannah",-0.09,0.13,-0.37,-0.08,0.15,-0.06,0
"31","Phylogenetic+Areal","Alaska-Oregon",0.04,0.15,-0.25,0.03,0.37,0.02,0
"32","Phylogenetic+Areal","Andean",-0.04,0.15,-0.36,-0.03,0.24,-0.02,0
"33","Phylogenetic+Areal","Basin and Plains",-0.02,0.13,-0.29,-0.01,0.25,-0.01,0
"34","Phylogenetic+Areal","California",-0.07,0.16,-0.43,-0.06,0.22,-0.03,0
"35","Phylogenetic+Areal","E North America",0.09,0.15,-0.18,0.07,0.43,0.04,0
"36","Phylogenetic+Areal","Europe",0.17,0.17,-0.09,0.15,0.55,0.08,0
"37","Phylogenetic+Areal","Greater Abyssinia",-0.01,0.15,-0.31,-0.01,0.3,0,0
"38","Phylogenetic+Areal","Greater Mesopotamia",0.03,0.14,-0.24,0.03,0.34,0.01,0
"39","Phylogenetic+Areal","Indic",0.04,0.12,-0.2,0.04,0.26,0.04,0
"40","Phylogenetic+Areal","Inner Asia",0.01,0.13,-0.25,0,0.28,0,0
"41","Phylogenetic+Areal","Interior New Guinea",-0.07,0.15,-0.4,-0.06,0.19,-0.03,0
"42","Phylogenetic+Areal","Mesoamerica",-0.02,0.13,-0.29,-0.02,0.24,-0.01,0
"43","Phylogenetic+Areal","N Africa",-0.01,0.16,-0.34,-0.01,0.32,0,0
"44","Phylogenetic+Areal","N Australia",0.05,0.15,-0.24,0.04,0.36,0.02,0
"45","Phylogenetic+Areal","N Coast Asia",0.05,0.16,-0.25,0.04,0.39,0.02,0
"46","Phylogenetic+Areal","N Coast New Guinea",-0.01,0.11,-0.25,-0.01,0.21,0,0
"47","Phylogenetic+Areal","NE South America",0.04,0.13,-0.21,0.03,0.31,0.02,0
"48","Phylogenetic+Areal","Oceania",0.03,0.11,-0.2,0.03,0.25,0.03,0
"49","Phylogenetic+Areal","S Africa",0.12,0.14,-0.13,0.1,0.42,0.07,0
"50","Phylogenetic+Areal","S Australia",0.04,0.16,-0.28,0.03,0.4,0.01,0
"51","Phylogenetic+Areal","S New Guinea",-0.1,0.13,-0.39,-0.09,0.13,-0.05,0
"52","Phylogenetic+Areal","SE South America",-0.03,0.15,-0.35,-0.02,0.28,-0.01,0
"53","Phylogenetic+Areal","Southeast Asia",-0.24,0.15,-0.55,-0.23,0,-0.19,0
