"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.0001...1",1.36,0.37,0.63,1.36,2.08,1.36,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0002...2",0.76,0.37,0.04,0.76,1.49,0.76,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0003...3",-0.88,0.37,-1.61,-0.88,-0.16,-0.88,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0004...4",-0.99,0.37,-1.72,-0.99,-0.26,-0.99,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0005...5",0.17,0.23,-0.28,0.17,0.62,0.17,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0006...6",0.09,0.22,-0.35,0.09,0.52,0.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0007...7",0.16,0.23,-0.29,0.16,0.61,0.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0008...8",0.22,0.22,-0.22,0.22,0.65,0.22,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0009...9",0.22,0.21,-0.19,0.22,0.62,0.22,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0010...10",0.25,0.21,-0.17,0.25,0.67,0.25,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0011...11",0.18,0.21,-0.23,0.18,0.59,0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0012...12",0.1,0.27,-0.43,0.1,0.63,0.1,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0013...13",-0.01,0.29,-0.57,-0.01,0.56,-0.01,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0014...14",-0.17,0.21,-0.57,-0.17,0.24,-0.17,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0015...15",-0.16,0.21,-0.57,-0.16,0.25,-0.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0016...16",-0.26,0.22,-0.7,-0.26,0.17,-0.26,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0017...17",0.08,0.25,-0.42,0.08,0.57,0.08,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0018...18",-0.17,0.25,-0.66,-0.17,0.32,-0.17,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0019...19",-0.27,0.24,-0.73,-0.27,0.19,-0.27,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0020...20",-0.39,0.25,-0.87,-0.39,0.1,-0.39,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0021...21",-0.07,0.24,-0.54,-0.07,0.4,-0.07,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0022...22",-0.18,0.26,-0.7,-0.18,0.34,-0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0023...23",-0.25,0.27,-0.77,-0.25,0.27,-0.25,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0024...24",-0.19,0.21,-0.59,-0.19,0.21,-0.19,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0025...25",-0.15,0.21,-0.56,-0.15,0.25,-0.15,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0026...26",-0.23,0.21,-0.64,-0.23,0.18,-0.23,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0027...27",-0.45,0.24,-0.92,-0.45,0.02,-0.45,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0028...28",-0.57,0.22,-1,-0.57,-0.14,-0.57,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0029...29",-0.53,0.22,-0.96,-0.53,-0.1,-0.53,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0030...30",-0.6,0.23,-1.06,-0.6,-0.15,-0.6,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0031...31",-0.19,0.25,-0.68,-0.19,0.31,-0.19,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0032...32",-0.26,0.26,-0.76,-0.26,0.25,-0.26,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0033...33",0.15,0.27,-0.37,0.15,0.68,0.15,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0034...34",-0.18,0.27,-0.7,-0.18,0.34,-0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0035...35",-0.61,0.27,-1.14,-0.61,-0.09,-0.61,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0036...36",-0.57,0.24,-1.04,-0.57,-0.1,-0.57,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0037...37",-0.61,0.24,-1.08,-0.61,-0.13,-0.61,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0038...38",-0.42,0.25,-0.91,-0.42,0.08,-0.42,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0039...39",-0.17,0.24,-0.65,-0.17,0.31,-0.17,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0040...40",-0.18,0.24,-0.65,-0.18,0.29,-0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0041...41",-0.82,0.25,-1.3,-0.82,-0.33,-0.82,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0042...42",-0.77,0.25,-1.26,-0.77,-0.29,-0.77,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0043...43",-0.85,0.25,-1.34,-0.85,-0.36,-0.85,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0044...44",-0.79,0.27,-1.32,-0.79,-0.26,-0.79,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0045...45",-0.45,0.23,-0.91,-0.45,0.01,-0.45,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0046...46",-0.59,0.24,-1.07,-0.59,-0.11,-0.59,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0047...47",-0.48,0.25,-0.98,-0.48,0.02,-0.48,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0048...48",-0.63,0.26,-1.13,-0.63,-0.13,-0.63,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0049...49",-0.27,0.27,-0.81,-0.27,0.27,-0.27,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0050...50",-0.89,0.25,-1.38,-0.89,-0.39,-0.89,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0051...51",-0.81,0.24,-1.29,-0.81,-0.34,-0.81,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0052...52",-1.01,0.25,-1.51,-1.01,-0.51,-1.01,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0053...53",-1.16,0.24,-1.64,-1.16,-0.68,-1.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0054...54",-1.17,0.25,-1.65,-1.17,-0.68,-1.17,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0055...55",-0.73,0.26,-1.25,-0.73,-0.22,-0.73,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0056...56",-0.72,0.26,-1.23,-0.72,-0.22,-0.72,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0057...57",-0.3,0.25,-0.8,-0.3,0.2,-0.3,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0058...58",-0.72,0.26,-1.23,-0.72,-0.22,-0.73,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0059...59",-0.53,0.24,-0.99,-0.53,-0.06,-0.53,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0060...60",-0.44,0.24,-0.91,-0.44,0.03,-0.44,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0061...61",-0.72,0.24,-1.2,-0.72,-0.25,-0.72,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0062...62",-0.43,0.24,-0.91,-0.43,0.04,-0.43,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0063...63",-0.45,0.23,-0.91,-0.45,0,-0.45,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0064...64",-0.45,0.24,-0.91,-0.45,0.01,-0.45,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0065...65",-0.42,0.23,-0.88,-0.42,0.03,-0.42,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0066...66",-0.52,0.24,-1,-0.52,-0.04,-0.52,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0067...67",-0.49,0.24,-0.97,-0.49,-0.01,-0.49,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0068...68",-0.4,0.25,-0.9,-0.4,0.1,-0.4,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0069...69",-0.18,0.28,-0.74,-0.18,0.37,-0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0070...70",-0.1,0.28,-0.65,-0.1,0.44,-0.1,"Phylogenetic+Spatial: local+L1 speakers (linear)"
