"","phy_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,0.02,0.13,-0.24,0.02,0.3,0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",2,0,0.04,-0.09,0,0.09,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",3,-0.07,0.16,-0.41,-0.07,0.25,-0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",4,-0.08,0.16,-0.41,-0.07,0.24,-0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5,-0.08,0.16,-0.42,-0.08,0.23,-0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",6,-0.48,0.22,-0.92,-0.47,-0.06,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",7,-0.48,0.22,-0.92,-0.47,-0.06,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",8,-0.48,0.22,-0.92,-0.47,-0.06,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",9,-0.48,0.22,-0.92,-0.47,-0.06,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",10,-0.48,0.23,-0.93,-0.47,-0.06,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",11,-0.48,0.22,-0.92,-0.47,-0.06,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",12,-0.49,0.23,-0.96,-0.48,-0.05,-0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",13,-0.48,0.23,-0.94,-0.47,-0.05,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",14,-0.48,0.22,-0.92,-0.47,-0.06,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",15,-0.48,0.22,-0.92,-0.47,-0.06,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",16,-0.48,0.22,-0.92,-0.47,-0.06,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",17,-0.08,0.16,-0.42,-0.08,0.23,-0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",18,-0.09,0.16,-0.43,-0.08,0.23,-0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",19,-0.04,0.15,-0.34,-0.04,0.25,-0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",20,-0.04,0.15,-0.34,-0.04,0.25,-0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",21,-0.04,0.15,-0.34,-0.04,0.25,-0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",22,-0.02,0.15,-0.32,-0.02,0.27,-0.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",23,0.03,0.15,-0.26,0.02,0.33,0.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",24,0.04,0.15,-0.25,0.04,0.35,0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",25,0.05,0.15,-0.25,0.04,0.36,0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",26,0.05,0.15,-0.25,0.04,0.36,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",27,0.04,0.16,-0.28,0.04,0.37,0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",28,0.03,0.17,-0.29,0.03,0.37,0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",29,0.06,0.16,-0.25,0.06,0.39,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",30,0.06,0.16,-0.25,0.06,0.39,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",31,0.06,0.16,-0.25,0.06,0.4,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",32,0.07,0.17,-0.25,0.06,0.42,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",33,0.07,0.17,-0.25,0.06,0.42,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",34,0.07,0.17,-0.25,0.07,0.43,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",35,0.06,0.16,-0.25,0.05,0.39,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",36,0.06,0.17,-0.25,0.06,0.4,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",37,0.06,0.17,-0.25,0.06,0.41,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",38,0.05,0.15,-0.25,0.05,0.37,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",39,0.05,0.16,-0.26,0.05,0.38,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",40,0.05,0.17,-0.27,0.05,0.39,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",41,0.07,0.17,-0.24,0.07,0.42,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"42",42,-0.05,0.15,-0.35,-0.04,0.24,-0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
