"","sp_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,0.18,0.32,-0.47,0.18,0.79,0.2,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",2,0.53,0.33,-0.13,0.53,1.16,0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",3,-0.25,0.32,-0.88,-0.25,0.39,-0.25,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",4,-0.53,0.33,-1.17,-0.54,0.12,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5,-1.05,0.34,-1.7,-1.05,-0.36,-1.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",6,-0.05,0.32,-0.7,-0.05,0.58,-0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",7,0.13,0.33,-0.51,0.14,0.77,0.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",8,-0.14,0.32,-0.77,-0.13,0.5,-0.13,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",9,0.4,0.33,-0.26,0.4,1.04,0.41,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",10,-1.26,0.35,-1.91,-1.26,-0.55,-1.28,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",11,0.48,0.34,-0.19,0.49,1.13,0.49,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",12,0.27,0.33,-0.38,0.28,0.91,0.28,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",13,-0.18,0.33,-0.83,-0.18,0.46,-0.19,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",14,0.13,0.32,-0.51,0.13,0.76,0.13,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",15,0.86,0.31,0.23,0.87,1.45,0.88,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",16,0.41,0.21,-0.01,0.41,0.81,0.41,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",17,0.4,0.21,-0.01,0.4,0.8,0.4,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",18,-0.39,0.25,-0.87,-0.4,0.12,-0.41,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",19,-0.24,0.19,-0.61,-0.24,0.14,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",20,-0.58,0.23,-1.01,-0.58,-0.12,-0.59,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",21,-0.45,0.21,-0.87,-0.46,-0.03,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",22,-0.07,0.23,-0.52,-0.07,0.38,-0.08,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",23,-0.14,0.2,-0.53,-0.14,0.26,-0.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",24,0.13,0.22,-0.29,0.14,0.56,0.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",25,0.14,0.21,-0.28,0.14,0.55,0.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",26,0.4,0.2,-0.01,0.4,0.8,0.4,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",27,0.19,0.2,-0.22,0.19,0.58,0.19,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",28,0.25,0.2,-0.15,0.26,0.65,0.26,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",29,0.17,0.21,-0.25,0.17,0.59,0.17,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",30,-0.36,0.25,-0.85,-0.36,0.14,-0.37,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",31,-0.29,0.27,-0.82,-0.29,0.25,-0.29,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",32,-0.25,0.22,-0.69,-0.25,0.19,-0.25,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",33,-0.02,0.22,-0.47,-0.02,0.41,-0.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",34,0.07,0.23,-0.39,0.07,0.51,0.08,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",35,-0.62,0.27,-1.14,-0.63,-0.07,-0.65,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",36,-0.49,0.24,-0.97,-0.5,-0.01,-0.5,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",37,-0.23,0.3,-0.82,-0.23,0.36,-0.22,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",38,-0.79,0.3,-1.36,-0.8,-0.17,-0.82,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",39,-0.42,0.2,-0.8,-0.42,-0.02,-0.42,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",40,-0.16,0.22,-0.59,-0.16,0.27,-0.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",41,0.39,0.31,-0.22,0.39,0.99,0.4,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"42",42,0.52,0.3,-0.09,0.53,1.1,0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"43",43,-0.12,0.3,-0.7,-0.12,0.47,-0.13,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"44",44,-0.21,0.26,-0.72,-0.21,0.31,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"45",45,0.57,0.3,-0.03,0.58,1.15,0.59,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"46",46,-0.82,0.32,-1.42,-0.82,-0.17,-0.84,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"47",47,-1.45,0.41,-2.23,-1.46,-0.63,-1.48,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"48",48,0.6,0.37,-0.12,0.6,1.32,0.6,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"49",49,0.08,0.37,-0.64,0.08,0.81,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"50",50,-0.12,0.39,-0.88,-0.12,0.67,-0.13,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"51",51,-0.23,0.4,-1,-0.24,0.56,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
