"","phy_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,0.02,0.35,-0.67,0.02,0.72,0.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",2,0.01,0.12,-0.22,0.01,0.25,0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",3,0.01,0.57,-1.11,0.01,1.14,0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",4,0.08,0.62,-1.13,0.08,1.29,0.08,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5,0.42,0.71,-0.97,0.41,1.8,0.41,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",6,0.07,0.51,-0.94,0.07,1.08,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",7,0.16,0.32,-0.47,0.16,0.8,0.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",8,0.16,0.31,-0.46,0.16,0.78,0.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",9,0.16,0.31,-0.45,0.16,0.78,0.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",10,-0.2,0.55,-1.29,-0.2,0.88,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",11,-0.46,0.19,-0.83,-0.46,-0.09,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",12,-0.46,0.18,-0.82,-0.47,-0.1,-0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",13,-0.48,0.17,-0.82,-0.48,-0.15,-0.49,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",14,-0.57,0.09,-0.75,-0.57,-0.4,-0.57,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",15,-0.59,0.08,-0.75,-0.59,-0.43,-0.59,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",16,-0.58,0.08,-0.74,-0.58,-0.42,-0.58,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",17,-0.56,0.08,-0.71,-0.56,-0.4,-0.56,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",18,-0.55,0.08,-0.7,-0.55,-0.39,-0.55,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",19,-0.52,0.09,-0.68,-0.52,-0.35,-0.52,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",20,-0.49,0.09,-0.67,-0.49,-0.31,-0.49,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",21,-0.37,0.13,-0.62,-0.37,-0.12,-0.37,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",22,-0.17,0.17,-0.5,-0.17,0.16,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",23,-0.12,0.17,-0.45,-0.12,0.23,-0.12,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",24,-0.03,0.18,-0.39,-0.03,0.33,-0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",25,0.03,0.2,-0.36,0.03,0.42,0.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",26,0.07,0.21,-0.34,0.07,0.48,0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",27,0.09,0.21,-0.33,0.09,0.5,0.08,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",28,0.02,0.21,-0.39,0.02,0.44,0.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",29,0.04,0.22,-0.39,0.04,0.49,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",30,-0.35,0.15,-0.64,-0.35,-0.06,-0.36,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",31,-0.35,0.16,-0.67,-0.35,-0.02,-0.35,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",32,-0.34,0.17,-0.68,-0.34,0,-0.34,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",33,-0.34,0.18,-0.68,-0.34,0.01,-0.34,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",34,-0.37,0.22,-0.8,-0.37,0.06,-0.37,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",35,-0.36,0.24,-0.83,-0.36,0.12,-0.36,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",36,-0.36,0.2,-0.75,-0.36,0.03,-0.37,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",37,-0.37,0.2,-0.77,-0.37,0.03,-0.37,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",38,-0.49,0.1,-0.69,-0.49,-0.29,-0.49,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",39,-0.49,0.11,-0.7,-0.49,-0.27,-0.49,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",40,-0.49,0.11,-0.7,-0.49,-0.27,-0.49,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",41,-0.48,0.12,-0.71,-0.48,-0.25,-0.48,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"42",42,-0.47,0.13,-0.72,-0.47,-0.22,-0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"43",43,-0.47,0.14,-0.73,-0.47,-0.2,-0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"44",44,-0.45,0.19,-0.81,-0.45,-0.08,-0.45,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"45",45,-0.45,0.21,-0.86,-0.45,-0.03,-0.45,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"46",46,-0.4,0.23,-0.85,-0.4,0.06,-0.4,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"47",47,-0.35,0.24,-0.83,-0.35,0.13,-0.36,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"48",48,-0.46,0.2,-0.87,-0.47,-0.06,-0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"49",49,-0.48,0.21,-0.9,-0.48,-0.07,-0.49,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"50",50,-0.5,0.23,-0.95,-0.5,-0.05,-0.5,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"51",51,-0.43,0.17,-0.76,-0.43,-0.09,-0.43,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"52",52,-0.41,0.19,-0.78,-0.41,-0.04,-0.42,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"53",53,-0.5,0.14,-0.76,-0.5,-0.23,-0.5,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
