"","x for the Gaussian observations","y for the Gaussian observations","model"
"1",0.516825323751106,0.000246665698400424,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",0.618180993596779,0.0018656298529891,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",0.759436863755297,0.0132859319968376,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",0.973432423236416,0.0847306912371329,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",1.09530853351461,0.167732597827063,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",1.21095303986152,0.271303536494949,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",1.35845099787249,0.420208687500419,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",1.46604397615544,0.525461916646412,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",1.55676559451053,0.603625761929307,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",1.63761929780562,0.661345307933953,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",1.7125642392653,0.703055865293546,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",1.78435353358141,0.731775897326315,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",1.81928571329417,0.741774373896668,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",1.85363061738386,0.749121712388323,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",1.88778305868856,0.75396786554404,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",1.92185608154119,0.756369182406651,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",1.93547265866331,0.756714606337983,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",1.94908580291247,0.756741258629544,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",1.95589182059832,0.756641619954657,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",1.96269783996352,0.756470100049192,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",1.97631093464364,0.755921469654023,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",1.98992707577639,0.755115088259142,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",2.00355797227113,0.754069002830776,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",2.01726098650978,0.752780004076653,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",2.02414313071693,0.75203622522016,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",2.03104584817852,0.751221616949715,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",2.04491340849446,0.749366242258863,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",2.05886439271467,0.747187032227663,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",2.09410995546294,0.740154397924048,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",2.12988155853124,0.73056434132917,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",2.16616652480769,0.718101794574284,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",2.20306348354279,0.702471783750971,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",2.28003008202015,0.660189601835611,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",2.36372407903737,0.600451456775666,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",2.45767201551197,0.521432189680451,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",2.56949491552963,0.42365563894466,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",2.71597857238521,0.305326449822238,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",2.93899936787323,0.167821262053814,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",3.14573734396546,0.0884943303406748,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",3.4010114500753,0.0368331754265083,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",3.99129898110956,0.00379434407114273,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"42",4.54706629790916,0.000371645013217602,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"43",5.07833800343498,3.72198093773261e-05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"44",0.51766447762988,0.0002472289387804,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"45",0.618445147154138,0.00187752250704929,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"46",0.758646897170003,0.0134187107728572,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"47",0.970072263466481,0.085602125403116,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"48",1.09076557990851,0.170068304106267,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"49",1.20480297345674,0.275449573376597,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"50",1.35003747175071,0.427433826578937,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"51",1.45599349774814,0.535466749672164,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"52",1.54506061716056,0.615894742096613,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"53",1.62439394083253,0.675643966458517,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"54",1.69785005564027,0.719155057182627,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"55",1.76817917323083,0.749511049719872,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"56",1.80232257391135,0.760242597956176,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"57",1.83587216110706,0.768281442901827,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"58",1.86923098160969,0.773763194345809,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"59",1.9024894778069,0.776753498964819,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"60",1.91577477007073,0.777326724241502,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"61",1.92905365205603,0.777578028258452,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
