"","phy_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,0.01,0.07,-0.13,0,0.17,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",2,0,0.02,-0.05,0,0.04,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",3,-0.01,0.09,-0.2,0,0.18,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",4,-0.01,0.09,-0.2,0,0.18,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5,-0.01,0.09,-0.2,0,0.18,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",6,0.03,0.15,-0.26,0.02,0.38,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",7,0.04,0.15,-0.26,0.02,0.38,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",8,0.04,0.15,-0.26,0.02,0.39,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",9,0.04,0.15,-0.26,0.02,0.39,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",10,0.04,0.15,-0.26,0.02,0.39,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",11,0.04,0.15,-0.26,0.02,0.39,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",12,0.04,0.16,-0.26,0.02,0.4,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",13,0.04,0.16,-0.26,0.02,0.4,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",14,0.03,0.15,-0.26,0.02,0.38,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",15,0.03,0.15,-0.26,0.02,0.38,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",16,0.03,0.15,-0.26,0.02,0.38,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",17,-0.01,0.09,-0.2,0,0.18,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",18,-0.01,0.09,-0.21,0,0.19,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",19,0.02,0.11,-0.2,0.01,0.27,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",20,0.02,0.11,-0.2,0.01,0.27,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",21,0.02,0.11,-0.2,0.01,0.27,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",22,0.02,0.11,-0.2,0.01,0.28,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",23,0.03,0.12,-0.19,0.01,0.3,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",24,0.03,0.12,-0.19,0.02,0.31,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",25,0.03,0.12,-0.19,0.02,0.31,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",26,0.03,0.12,-0.19,0.02,0.31,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",27,0.03,0.12,-0.2,0.02,0.32,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",28,0.03,0.12,-0.2,0.02,0.32,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",29,0.03,0.12,-0.19,0.02,0.32,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",30,0.03,0.12,-0.19,0.02,0.32,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",31,0.03,0.12,-0.19,0.02,0.32,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
