"","x for the Gaussian observations","y for the Gaussian observations","model"
"1",0.797616052458739,0.00386702401396069,"L1 speakers (linear)"
"2",0.815644594134881,0.00667819450167604,"L1 speakers (linear)"
"3",0.873395799838972,0.0288389819755766,"L1 speakers (linear)"
"4",0.972764120901986,0.19207111025307,"L1 speakers (linear)"
"5",1.02453721557058,0.406494021952347,"L1 speakers (linear)"
"6",1.07055514197446,0.695840775633315,"L1 speakers (linear)"
"7",1.12542446924636,1.14253291697311,"L1 speakers (linear)"
"8",1.16356410066545,1.4829117687218,"L1 speakers (linear)"
"9",1.19451068384827,1.74910638872408,"L1 speakers (linear)"
"10",1.22150219011982,1.95582351966259,"L1 speakers (linear)"
"11",1.24608984659564,2.11161810947465,"L1 speakers (linear)"
"12",1.2691692876952,2.22202942079702,"L1 speakers (linear)"
"13",1.28033585433815,2.26146397806936,"L1 speakers (linear)"
"14",1.29133418124413,2.29089074209536,"L1 speakers (linear)"
"15",1.30221511842921,2.31060745493684,"L1 speakers (linear)"
"16",1.31302617247502,2.32086174524969,"L1 speakers (linear)"
"17",1.31734049703768,2.3223600926385,"L1 speakers (linear)"
"18",1.32165409651189,2.32238799109426,"L1 speakers (linear)"
"19",1.32381111216429,2.32185356106979,"L1 speakers (linear)"
"20",1.3259685031648,2.32095525086458,"L1 speakers (linear)"
"21",1.33028719767516,2.31807065420199,"L1 speakers (linear)"
"22",1.33461296459254,2.31374179754391,"L1 speakers (linear)"
"23",1.33894746844356,2.30797693024171,"L1 speakers (linear)"
"24",1.34329485030747,2.30078029169524,"L1 speakers (linear)"
"25",1.3454739740919,2.29664700224516,"L1 speakers (linear)"
"26",1.3476569455214,2.29215832427819,"L1 speakers (linear)"
"27",1.35203664684476,2.28211520258283,"L1 speakers (linear)"
"28",1.35643764376717,2.27065208603195,"L1 speakers (linear)"
"29",1.36754948424357,2.23580335359896,"L1 speakers (linear)"
"30",1.37885849981958,2.19211225091577,"L1 speakers (linear)"
"31",1.39041898547071,2.13955375680823,"L1 speakers (linear)"
"32",1.40229206442728,2.07806642162461,"L1 speakers (linear)"
"33",1.42727368908188,1.92784454621646,"L1 speakers (linear)"
"34",1.45456175772132,1.74001102959321,"L1 speakers (linear)"
"35",1.48535064071138,1.5118901691527,"L1 speakers (linear)"
"36",1.52177777048214,1.23896172122641,"L1 speakers (linear)"
"37",1.56845682332056,0.913444597997293,"L1 speakers (linear)"
"38",1.63943625940831,0.520510842156674,"L1 speakers (linear)"
"39",1.7027191683576,0.287790628348485,"L1 speakers (linear)"
"40",1.7780362239528,0.128306508316475,"L1 speakers (linear)"
"41",1.93968414989825,0.0156169385274411,"L1 speakers (linear)"
"42",2.07219814852325,0.00203125380503394,"L1 speakers (linear)"
"43",2.14967621413687,0.000569797955476989,"L1 speakers (linear)"
"44",0.753551082625332,0.000415508258626717,"L1 speakers (nonlinear)"
"45",0.810885782496474,0.00347498233350127,"L1 speakers (nonlinear)"
"46",0.882402871863784,0.0277454837636638,"L1 speakers (nonlinear)"
"47",0.977786559010602,0.202857449869051,"L1 speakers (nonlinear)"
"48",1.02703749739523,0.427458981175452,"L1 speakers (nonlinear)"
"49",1.07119786344579,0.727579347543519,"L1 speakers (nonlinear)"
"50",1.12450882598764,1.18920748706362,"L1 speakers (nonlinear)"
"51",1.16188068559258,1.53762579873283,"L1 speakers (nonlinear)"
"52",1.19236244149525,1.80694838664235,"L1 speakers (nonlinear)"
"53",1.21903355388854,2.01377682359698,"L1 speakers (nonlinear)"
"54",1.24351828601249,2.16893858832012,"L1 speakers (nonlinear)"
"55",1.26650821672261,2.27774243267509,"L1 speakers (nonlinear)"
"56",1.27766029381718,2.31634199002354,"L1 speakers (nonlinear)"
"57",1.28864985155833,2.34502028876157,"L1 speakers (nonlinear)"
"58",1.29951045198895,2.36424902234101,"L1 speakers (nonlinear)"
"59",1.31033005086362,2.374429233636,"L1 speakers (nonlinear)"
"60",1.31465837684536,2.37596728827311,"L1 speakers (nonlinear)"
"61",1.31898818663738,2.37604801344676,"L1 speakers (nonlinear)"
"62",1.32115389948101,2.37554061381309,"L1 speakers (nonlinear)"
"63",1.32332028454373,2.37466758408731,"L1 speakers (nonlinear)"
"64",1.32765546903566,2.37182393270274,"L1 speakers (nonlinear)"
"65",1.33199452812305,2.36751678060976,"L1 speakers (nonlinear)"
"66",1.33633823462912,2.36174767899098,"L1 speakers (nonlinear)"
"67",1.34068734123419,2.35452005984588,"L1 speakers (nonlinear)"
"68",1.3428660034383,2.35035720925426,"L1 speakers (nonlinear)"
"69",1.34505024543458,2.34582274356567,"L1 speakers (nonlinear)"
"70",1.34943637615953,2.33563387404744,"L1 speakers (nonlinear)"
