"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.48,1.71,1.99,1822.66,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.29,0.35,0.42,1822.66,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,-0.01,0.02,1822.66,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.04,0.09,0.14,1822.66,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.48,1.71,1.99,1823.02,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.29,0.35,0.42,1823.02,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0,0.03,1823.02,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1823.02,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1.49,1.72,1.99,1823.56,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.29,0.35,0.42,1823.56,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.17,-0.01,0.15,1823.56,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.04,1823.56,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.01,0.03,0.08,1823.56,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.48,1.71,1.99,1824.81,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.29,0.35,0.42,1824.81,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,-0.01,0.02,1824.81,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.04,0.09,0.14,1824.81,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.37,-0.03,0.31,1824.81,"L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",1.47,1.7,1.97,1849.87,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.29,0.35,0.42,1849.87,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.02,0,0.02,1849.87,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1849.87,"Neighbours"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1.47,1.69,1.97,1854.31,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.29,0.35,0.42,1854.31,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.16,0,0.16,1854.31,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.04,1854.31,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (linear)",1.47,1.7,1.97,1854.33,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.29,0.35,0.42,1854.33,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.02,0,0.03,1854.33,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.34,0,0.34,1854.33,"L2 proportion"
"Phylogenetic+Spatial: local+Official",1.45,1.67,1.95,1854.91,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.29,0.36,0.42,1854.91,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,-0.01,0.02,1854.91,"Intercept"
"Phylogenetic+Spatial: local+Official",0,0.16,0.33,1854.91,"Official status"
"Phylogenetic+Spatial: local+Education",1.45,1.68,1.95,1855.62,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.29,0.35,0.42,1855.62,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,-0.01,0.02,1855.62,"Intercept"
"Phylogenetic+Spatial: local+Education",0,0.14,0.28,1855.62,"Education"
