"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.51,1.74,2.02,1798.11,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.29,0.35,0.42,1798.11,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0.01,0.04,1798.11,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1798.11,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.51,1.74,2.02,1799.57,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.29,0.35,0.42,1799.57,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,0,0.02,1799.57,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.04,0.09,0.14,1799.57,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1.51,1.74,2.02,1800.66,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.29,0.35,0.42,1800.66,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.17,0,0.16,1800.66,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.04,1800.66,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,1800.66,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.51,1.74,2.02,1801.8,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.29,0.35,0.42,1801.8,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,0,0.02,1801.8,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.04,0.09,0.14,1801.8,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.37,-0.03,0.31,1801.8,"L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",1.5,1.73,2.01,1825.96,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.29,0.35,0.42,1825.96,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.02,0.01,0.03,1825.96,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1825.96,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.47,1.7,1.98,1831.48,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.29,0.35,0.42,1831.48,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.02,0,0.03,1831.48,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.01,0.16,0.33,1831.48,"Official status"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1.49,1.72,2,1831.49,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.29,0.35,0.42,1831.49,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.15,0.01,0.17,1831.49,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.04,1831.49,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Education",1.48,1.71,1.99,1832.32,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.29,0.35,0.42,1832.32,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,0,0.03,1832.32,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.01,0.14,0.28,1832.32,"Education"
"Phylogenetic+Spatial: local+L2 proportion (linear)",1.49,1.73,2,1832.49,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.29,0.35,0.42,1832.49,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.01,0.01,0.03,1832.49,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.34,0,0.34,1832.49,"L2 proportion"
