"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.07,0.24,0.57,408.48,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.13,0.32,0.6,408.48,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.37,0.1,0.58,408.48,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.03,408.48,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Official",0.04,0.18,0.57,408.52,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.12,0.31,0.54,408.52,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.07,0.08,0.23,408.52,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.82,0.01,0.84,408.52,"Official status"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.07,0.24,0.6,408.66,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.11,0.29,0.52,408.66,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.07,0.08,0.23,408.66,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-2.12,0.1,2.32,408.66,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.03,0.18,0.57,408.71,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.14,0.33,0.58,408.71,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.06,0.09,0.24,408.71,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,408.71,"social SD:
L1"
"Phylogenetic+Spatial: local+Education",0.05,0.21,0.57,408.75,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.12,0.3,0.54,408.75,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.08,0.07,0.22,408.75,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.5,0.22,0.94,408.75,"Education"
"Phylogenetic+Spatial: local+Neighbours",0.04,0.19,0.59,408.95,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.13,0.31,0.54,408.95,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.06,0.08,0.23,408.95,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.14,0.01,0.15,408.95,"Neighbours"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.17,0.56,408.98,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.12,0.31,0.54,408.98,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.06,0.09,0.24,408.98,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.23,-0.04,0.16,408.98,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.08,0.24,0.6,410.17,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.11,0.3,0.52,410.17,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.36,0.12,0.6,410.17,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,410.17,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,410.17,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.03,0.17,0.57,410.33,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.13,0.31,0.55,410.33,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.07,0.08,0.24,410.33,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.23,-0.04,0.16,410.33,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-2.09,0.15,2.39,410.33,"L2 proportion"
