"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.01,1.32,1.69,3089.37,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.36,0.44,0.54,3089.37,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.01,0.03,0.08,3089.37,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.04,3089.37,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.01,1.32,1.69,3090.1,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.36,0.44,0.54,3090.1,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.02,0.02,0.06,3090.1,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.04,0.12,0.19,3090.1,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.01,1.32,1.69,3092.59,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.36,0.44,0.54,3092.59,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.02,0.02,0.06,3092.59,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.04,0.12,0.19,3092.59,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.52,-0.01,0.5,3092.59,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1,1.3,1.69,3095.81,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.36,0.44,0.54,3095.81,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.22,0.02,0.26,3095.81,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3095.81,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3095.81,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",0.94,1.25,1.62,3109.16,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.37,0.45,0.55,3109.16,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",0,0.03,0.07,3109.16,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.04,0.01,0.05,3109.16,"Neighbours"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.93,1.24,1.61,3110.8,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.37,0.45,0.55,3110.8,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0,0.03,0.07,3110.8,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.48,0.04,0.55,3110.8,"L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.93,1.24,1.61,3111.03,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.37,0.45,0.55,3111.03,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.2,0.04,0.29,3111.03,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.03,3111.03,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Education",0.91,1.22,1.59,3112.36,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.37,0.45,0.55,3112.36,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.02,0.02,0.06,3112.36,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.04,0.16,0.37,3112.36,"Education"
"Phylogenetic+Spatial: local+Official",0.89,1.21,1.57,3112.83,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.38,0.46,0.55,3112.83,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.02,0.03,0.07,3112.83,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.04,0.2,0.43,3112.83,"Official status"
