"model","2.5%","50%","97.5%","WAIC","effect"
"Official",-0.04,0.01,0.07,3627,"Intercept"
"Official",0.14,0.38,0.61,3627,"Official status"
"Education",-0.04,0.01,0.07,3627.77,"Intercept"
"Education",0.11,0.31,0.51,3627.77,"Education"
"Neighbours",-0.01,0.04,0.1,3631.27,"Intercept"
"Neighbours",-0.1,-0.05,-0.01,3631.27,"Neighbours"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.16,0.13,0.42,3633.81,"Intercept"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.04,0.16,0.41,3633.81,"social SD:
L1"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3633.81,"social SD:
L2 proportion"
"L1 speakers (nonlinear)",-0.02,0.04,0.1,3635.84,"Intercept"
"L1 speakers (nonlinear)",0,0.01,0.03,3635.84,"social SD:
L1"
"L2 proportion (nonlinear)",-0.17,0.12,0.41,3636.26,"Intercept"
"L2 proportion (nonlinear)",0,0.01,0.03,3636.26,"social SD:
L2 proportion"
"L1 speakers (linear)",-0.02,0.04,0.09,3636.44,"Intercept"
"L1 speakers (linear)",-0.08,-0.02,0.05,3636.44,"L1"
"L2 proportion (linear)",-0.02,0.03,0.09,3636.57,"Intercept"
"L2 proportion (linear)",-0.41,0.19,0.79,3636.57,"L2 proportion"
"L1 speakers (linear)+L2 proportion (linear)",-0.02,0.03,0.09,3638.24,"Intercept"
"L1 speakers (linear)+L2 proportion (linear)",-0.08,-0.02,0.04,3638.24,"L1"
"L1 speakers (linear)+L2 proportion (linear)",-0.39,0.21,0.81,3638.24,"L2 proportion"
