"","x for the Gaussian observations","y for the Gaussian observations","model"
"1",0.472720541980463,0.000400797440178201,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",0.533168358109709,0.00322748168284295,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",0.612055845277893,0.0246986234171399,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",0.722205288775163,0.1714686326907,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",0.781333960038206,0.355443689529171,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",0.835004291281936,0.597176832422467,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",0.900750230617955,0.968920210017353,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",0.946846649767023,1.25142821035918,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",0.984673176506444,1.47721957726637,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",1.01748273779989,1.65755901847896,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",1.04722403621026,1.80172531401148,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",1.07500000839715,1.91572713502196,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",1.08841360513152,1.96285971551347,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",1.10150157846332,2.00361230090567,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",1.11425480066551,2.03822877337042,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",1.12677575398133,2.06714725541195,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",1.13175160076983,2.07707515364628,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",1.136711455581,2.08599891727223,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",1.13918589925076,2.09009742097133,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",1.14165695202217,2.09396735154867,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",1.14658965349721,2.10106183490259,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",1.15151105386183,2.10736175849184,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",1.15642257735829,2.11294445364389,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",1.16132557776808,2.1178852178195,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",1.16377428520468,2.12013786058637,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",1.1662213367053,2.12225735844389,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",1.17111106095532,2.12613225130574,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",1.17599587874131,2.12957941048585,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",1.18821470449781,2.13673870532359,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",1.20056836040236,2.141275928818,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",1.21309032578756,2.14103007779243,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",1.22579201011068,2.13369115197675,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",1.25175218760297,2.08873666921664,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",1.27854741222856,1.99002117904045,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",1.30720443630336,1.81997120789983,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",1.33996900721565,1.55274910401156,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",1.37935486634273,1.18255710068207,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",1.43936076033751,0.677203354168619,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",1.493670729922,0.357917812997916,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",1.55222553012529,0.158818011658611,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",1.68690502659126,0.0162008063680221,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"42",1.79491843195916,0.00184971383706816,"Phylogenetic+Spatial: local+L1 speakers (linear)"
