"","sp_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,0.01,0.36,-0.73,0.01,0.75,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",2,-0.18,0.38,-1,-0.15,0.51,-0.08,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",3,0.1,0.36,-0.61,0.08,0.86,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",4,0.23,0.36,-0.41,0.2,1.02,0.11,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5,0.18,0.35,-0.48,0.15,0.93,0.09,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",6,0.13,0.36,-0.57,0.1,0.9,0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",7,0.05,0.31,-0.56,0.04,0.69,0.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",8,-0.17,0.36,-0.95,-0.14,0.51,-0.08,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",9,-0.01,0.36,-0.75,-0.01,0.72,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",10,-0.27,0.38,-1.1,-0.22,0.4,-0.12,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",11,-0.11,0.34,-0.83,-0.09,0.54,-0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",12,-0.1,0.32,-0.78,-0.08,0.53,-0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",13,-0.12,0.32,-0.8,-0.1,0.5,-0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",14,0.03,0.34,-0.66,0.02,0.74,0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",15,0.03,0.36,-0.7,0.03,0.78,0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",16,0.24,0.38,-0.44,0.2,1.08,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",17,0.15,0.35,-0.52,0.13,0.91,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",18,0.15,0.35,-0.51,0.13,0.91,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",19,0.2,0.38,-0.48,0.17,1.02,0.09,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",20,-0.12,0.37,-0.91,-0.1,0.58,-0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",21,0.24,0.38,-0.44,0.2,1.07,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",22,-0.1,0.36,-0.87,-0.08,0.6,-0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",23,-0.29,0.39,-1.15,-0.25,0.38,-0.13,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",24,-0.03,0.36,-0.76,-0.02,0.69,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",25,-0.17,0.36,-0.95,-0.14,0.51,-0.08,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",26,0.12,0.34,-0.54,0.1,0.84,0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",27,0.14,0.34,-0.51,0.11,0.87,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",28,-0.13,0.37,-0.91,-0.1,0.57,-0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",29,-0.4,0.42,-1.33,-0.35,0.29,-0.17,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",30,-0.16,0.37,-0.97,-0.13,0.53,-0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
