"","x for the Gaussian observations","y for the Gaussian observations","model"
"1",0.88154849280538,0.00823566830461362,"L1 speakers (linear)"
"2",0.888847958375042,0.0172254812486264,"L1 speakers (linear)"
"3",0.908012378773085,0.095593635968664,"L1 speakers (linear)"
"4",0.936199607628357,0.704126863426467,"L1 speakers (linear)"
"5",0.950149322096166,1.5270515647076,"L1 speakers (linear)"
"6",0.962270582757366,2.67069593448763,"L1 speakers (linear)"
"7",0.976386770248626,4.49802240863776,"L1 speakers (linear)"
"8",0.985994869222375,5.93597246031044,"L1 speakers (linear)"
"9",0.993677632385941,7.09097029272281,"L1 speakers (linear)"
"10",1.00030081443883,8.01378541712582,"L1 speakers (linear)"
"11",1.0062737782568,8.7340599568932,"L1 speakers (linear)"
"12",1.01182986695926,9.27072355951729,"L1 speakers (linear)"
"13",1.01450097911532,9.47433284055446,"L1 speakers (linear)"
"14",1.01712100255463,9.63640099487164,"L1 speakers (linear)"
"15",1.01970278752791,9.75784376766883,"L1 speakers (linear)"
"16",1.02225785173323,9.83937188557105,"L1 speakers (linear)"
"17",1.02327476987172,9.86093135014715,"L1 speakers (linear)"
"18",1.02428984269664,9.87621936235756,"L1 speakers (linear)"
"19",1.02479692349021,9.88151873280772,"L1 speakers (linear)"
"20",1.0253037484374,9.8852575434044,"L1 speakers (linear)"
"21",1.02631687732915,9.8880628279187,"L1 speakers (linear)"
"22",1.02733019894766,9.88465059412026,"L1 speakers (linear)"
"23",1.02834412981573,9.87503108276685,"L1 speakers (linear)"
"24",1.02935930513302,9.85921193225754,"L1 speakers (linear)"
"25",1.02986765873643,9.8489766651825,"L1 speakers (linear)"
"26",1.03037657571414,9.83719171075804,"L1 speakers (linear)"
"27",1.03139628370706,9.80897590631562,"L1 speakers (linear)"
"28",1.03241937147081,9.77455186538567,"L1 speakers (linear)"
"29",1.0349957214393,9.66127836445238,"L1 speakers (linear)"
"30",1.03760777591995,9.5088998993782,"L1 speakers (linear)"
"31",1.04026758803443,9.31699472610428,"L1 speakers (linear)"
"32",1.04298866105717,9.08495987633401,"L1 speakers (linear)"
"33",1.0486793433822,8.49704951638302,"L1 speakers (linear)"
"34",1.05484342669497,7.73566480634302,"L1 speakers (linear)"
"35",1.0617352241809,6.7856012702443,"L1 speakers (linear)"
"36",1.06980570771025,5.62242244461764,"L1 speakers (linear)"
"37",1.08001803996409,4.20424990925299,"L1 speakers (linear)"
"38",1.09527480794795,2.44672981685076,"L1 speakers (linear)"
"39",1.10861875106189,1.37604867386079,"L1 speakers (linear)"
"40",1.12423555944152,0.623685519126022,"L1 speakers (linear)"
"41",1.15683673160764,0.0796570537604122,"L1 speakers (linear)"
"42",1.18141351470985,0.0120231195986261,"L1 speakers (linear)"
"43",1.19294014665823,0.00453515378036119,"L1 speakers (linear)"
"44",0.866449582763693,0.00120638821363085,"L1 speakers (nonlinear)"
"45",0.885576876189339,0.0106622300510972,"L1 speakers (nonlinear)"
"46",0.908161402097991,0.0906384424523788,"L1 speakers (nonlinear)"
"47",0.936307152882793,0.709955677709012,"L1 speakers (nonlinear)"
"48",0.950148831424057,1.54989532475472,"L1 speakers (nonlinear)"
"49",0.962162625423715,2.71515222364709,"L1 speakers (nonlinear)"
"50",0.976214908772135,4.58237449543503,"L1 speakers (nonlinear)"
"51",0.985826959428233,6.05510036242405,"L1 speakers (nonlinear)"
"52",0.993504205836229,7.23293877244782,"L1 speakers (nonlinear)"
"53",1.00013170802909,8.17280895795732,"L1 speakers (nonlinear)"
"54",1.00613555229736,8.90818182855182,"L1 speakers (nonlinear)"
"55",1.01170878165565,9.45421296667102,"L1 speakers (nonlinear)"
"56",1.01439142989709,9.66156416194378,"L1 speakers (nonlinear)"
"57",1.0170201733545,9.82669437305267,"L1 speakers (nonlinear)"
"58",1.01960971593355,9.95096330139665,"L1 speakers (nonlinear)"
"59",1.0221803466866,10.03528429553,"L1 speakers (nonlinear)"
"60",1.02320443940664,10.0577907089682,"L1 speakers (nonlinear)"
"61",1.02422654580352,10.073880099516,"L1 speakers (nonlinear)"
"62",1.02473693444554,10.079519874531,"L1 speakers (nonlinear)"
"63",1.02524692246142,10.083557902774,"L1 speakers (nonlinear)"
"64",1.02626582240261,10.0868355640382,"L1 speakers (nonlinear)"
"65",1.0272834944955,10.0837305085299,"L1 speakers (nonlinear)"
"66",1.02830040443729,10.0742633967727,"L1 speakers (nonlinear)"
"67",1.02931945279325,10.0584098551837,"L1 speakers (nonlinear)"
"68",1.02983016479734,10.0480754392475,"L1 speakers (nonlinear)"
"69",1.0303417231407,10.0361306175402,"L1 speakers (nonlinear)"
"70",1.0313675445128,10.0073954970732,"L1 speakers (nonlinear)"
"71",1.03239725206385,9.97217884102387,"L1 speakers (nonlinear)"
"72",1.03499077713873,9.85565550628851,"L1 speakers (nonlinear)"
"73",1.0376162341139,9.69832074301905,"L1 speakers (nonlinear)"
"74",1.04028507355031,9.4997963484683,"L1 speakers (nonlinear)"
"75",1.04302014685405,9.25893261479293,"L1 speakers (nonlinear)"
"76",1.048743580708,8.64843749167769,"L1 speakers (nonlinear)"
"77",1.0549608293135,7.85708995464165,"L1 speakers (nonlinear)"
"78",1.06190976030035,6.87354980887076,"L1 speakers (nonlinear)"
"79",1.07004440726854,5.67648388074629,"L1 speakers (nonlinear)"
"80",1.08040539089128,4.21887567678419,"L1 speakers (nonlinear)"
"81",1.09587236665859,2.43381914161404,"L1 speakers (nonlinear)"
"82",1.10946756020475,1.35505990044592,"L1 speakers (nonlinear)"
"83",1.12552370447892,0.603067720297006,"L1 speakers (nonlinear)"
"84",1.15958055435796,0.0726734045131275,"L1 speakers (nonlinear)"
"85",1.18845468785446,0.00813858214551151,"L1 speakers (nonlinear)"
"86",1.21407753706694,0.00088093701952497,"L1 speakers (nonlinear)"
"87",0.881618930474771,0.00823501035921485,"L2 proportion (linear)"
"88",0.888918979201185,0.0172241052624692,"L2 proportion (linear)"
"89",0.908084930499094,0.0955860005819459,"L2 proportion (linear)"
"90",0.936274410919113,0.70407062310104,"L2 proportion (linear)"
"91",0.95022523967654,1.52692959473128,"L2 proportion (linear)"
"92",0.962347468577249,2.67048261735748,"L2 proportion (linear)"
"93",0.976464783666937,4.49766313541244,"L2 proportion (linear)"
"94",0.986073650136332,5.9354983318259,"L2 proportion (linear)"
"95",0.993757027000495,7.09040390965194,"L2 proportion (linear)"
"96",1.00038073811476,8.01314532515991,"L2 proportion (linear)"
"97",1.00635417905439,8.73336233419603,"L2 proportion (linear)"
"98",1.0119107115781,9.26998307221058,"L2 proportion (linear)"
