"","model","WAIC","prior","response"
"1","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1805.37,"0.1","boundness"
"2","Phylogenetic+Spatial: local+L1 speakers (linear)",1806.23,"0.1","boundness"
"3","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1806.96,"0.1","boundness"
"4","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1808.47,"0.1","boundness"
"5","Phylogenetic+Spatial: local+Neighbours",1832.51,"0.1","boundness"
"6","Phylogenetic+Spatial: local+Official",1837.48,"0.1","boundness"
"7","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1837.66,"0.1","boundness"
"8","Phylogenetic+Spatial: local+Education",1838.34,"0.1","boundness"
"9","Phylogenetic+Spatial: local+L2 proportion (linear)",1838.68,"0.1","boundness"
"10","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1813.7,"0.01","boundness"
"11","Phylogenetic+Spatial: local+L1 speakers (linear)",1815.18,"0.01","boundness"
"12","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1817.18,"0.01","boundness"
"13","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1817.52,"0.01","boundness"
"14","Phylogenetic+Spatial: local+Neighbours",1841.27,"0.01","boundness"
"15","Phylogenetic+Spatial: local+Official",1845.86,"0.01","boundness"
"16","Phylogenetic+Spatial: local+Education",1846.75,"0.01","boundness"
"17","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1847.1,"0.01","boundness"
"18","Phylogenetic+Spatial: local+L2 proportion (linear)",1847.22,"0.01","boundness"
"19","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1798.11,"0.5","boundness"
"20","Phylogenetic+Spatial: local+L1 speakers (linear)",1799.57,"0.5","boundness"
"21","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1800.66,"0.5","boundness"
"22","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1801.8,"0.5","boundness"
"23","Phylogenetic+Spatial: local+Neighbours",1825.96,"0.5","boundness"
"24","Phylogenetic+Spatial: local+Official",1831.48,"0.5","boundness"
"25","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1831.49,"0.5","boundness"
"26","Phylogenetic+Spatial: local+Education",1832.32,"0.5","boundness"
"27","Phylogenetic+Spatial: local+L2 proportion (linear)",1832.49,"0.5","boundness"
"28","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1796.18,"0.99","boundness"
"29","Phylogenetic+Spatial: local+L1 speakers (linear)",1797.04,"0.99","boundness"
"30","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1799.06,"0.99","boundness"
"31","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1799.27,"0.99","boundness"
"32","Phylogenetic+Spatial: local+Neighbours",1823.74,"0.99","boundness"
"33","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1828.36,"0.99","boundness"
"34","Phylogenetic+Spatial: local+Official",1828.9,"0.99","boundness"
"35","Phylogenetic+Spatial: local+Education",1829.73,"0.99","boundness"
"36","Phylogenetic+Spatial: local+L2 proportion (linear)",1831.95,"0.99","boundness"
"37","Phylogenetic+Spatial: local+L1 speakers (linear)",3097.43,"0.1","informativity"
"38","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3100.37,"0.1","informativity"
"39","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3100.73,"0.1","informativity"
"40","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3100.82,"0.1","informativity"
"41","Phylogenetic+Spatial: local+Neighbours",3117.21,"0.1","informativity"
"42","Phylogenetic+Spatial: local+L2 proportion (linear)",3118.4,"0.1","informativity"
"43","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3119.83,"0.1","informativity"
"44","Phylogenetic+Spatial: local+Education",3120.94,"0.1","informativity"
"45","Phylogenetic+Spatial: local+Official",3121.43,"0.1","informativity"
"46","Phylogenetic+Spatial: local+L1 speakers (linear)",3106.16,"0.01","informativity"
"47","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3108.24,"0.01","informativity"
"48","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3108.24,"0.01","informativity"
"49","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3109.21,"0.01","informativity"
"50","Phylogenetic+Spatial: local+Neighbours",3126.32,"0.01","informativity"
"51","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3126.95,"0.01","informativity"
"52","Phylogenetic+Spatial: local+L2 proportion (linear)",3127.78,"0.01","informativity"
"53","Phylogenetic+Spatial: local+Education",3128.83,"0.01","informativity"
"54","Phylogenetic+Spatial: local+Official",3129.84,"0.01","informativity"
"55","Phylogenetic+Spatial: local+L1 speakers (linear)",3092.45,"0.5","informativity"
"56","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3093.01,"0.5","informativity"
"57","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3094.27,"0.5","informativity"
"58","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3094.43,"0.5","informativity"
"59","Phylogenetic+Spatial: local+Neighbours",3112.44,"0.5","informativity"
"60","Phylogenetic+Spatial: local+L2 proportion (linear)",3113.16,"0.5","informativity"
"61","Phylogenetic+Spatial: local+Education",3114.12,"0.5","informativity"
"62","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3114.38,"0.5","informativity"
"63","Phylogenetic+Spatial: local+Official",3115.12,"0.5","informativity"
"64","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3089.37,"0.99","informativity"
"65","Phylogenetic+Spatial: local+L1 speakers (linear)",3090.1,"0.99","informativity"
"66","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3092.59,"0.99","informativity"
"67","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3095.81,"0.99","informativity"
"68","Phylogenetic+Spatial: local+Neighbours",3109.16,"0.99","informativity"
"69","Phylogenetic+Spatial: local+L2 proportion (linear)",3110.8,"0.99","informativity"
"70","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3111.03,"0.99","informativity"
"71","Phylogenetic+Spatial: local+Education",3112.36,"0.99","informativity"
"72","Phylogenetic+Spatial: local+Official",3112.83,"0.99","informativity"
